SKU,Barcode,ProductName,Category,SubCategory,Brand,UnitSize,BaseUnitPriceLKR,CostPriceLKR,TypicalShelfLifeDays,IsPerishable,PerishabilityTier,Supplier,SupplierSKU,CaseSize,MinOrderQty,MaxShelfCapacityUnits,BackroomCapacity,AverageWeeklySales,SeasonalityIndex,TurnoverDays
FRS-GRE-ALL-P3U,4794028253260,Kohila Leaves,Fresh Produce,Produce & Greens,Local,1 bunch,70.0,56.97,3,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-KOHI-1BUN-2M,20,1,25,0,1.08,1.2,113.4
FRS-VEG-ALL-RMB,4799140169338,Kohila Yams,Fresh Produce,Produce & Greens,Local,1kg,239.95,206.13,5,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-KOHI-1KG-TU,15,1,28,0,23.99,1.15,5.7
FRS-FRU-ALL-XTX,4792607569993,Kolikuttu,Fresh Produce,Produce & Greens,Local,1kg,330.0,267.86,4,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-KOLI-1KG-NQ,10,1,16,0,12.18,1.2,6.4
FRS-VEG-ALL-J96,4797733168065,Leeks,Fresh Produce,Produce & Greens,Local,1kg,340.0,280.4,5,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-LEEK-1KG-V8,10,1,43,0,51.57,1.04,4.1
FRS-FRU-ALL-JUF,4790740274064,Limes,Fresh Produce,Produce & Greens,Local,1kg,589.95,491.48,7,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-LIME-1KG-ZL,25,1,44,71,206.34,1.27,1.0
FRS-VEG-ALL-3S4,4791497459797,Long Beans,Fresh Produce,Produce & Greens,Local,1kg,359.9,302.31,8,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-LONG-1KG-GP,25,1,51,31,494.68,1.15,1.0
FRS-GRE-ALL-WAU,4799326643225,Mukunuwenna,Fresh Produce,Produce & Greens,Local,1 bunch,75.0,65.02,4,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-MUKU-1BUN-S2,10,1,23,0,27.61,1.32,4.1
FRS-FRU-ALL-XQS,4790012762237,Papaw,Fresh Produce,Produce & Greens,Local,1kg,270.0,228.24,7,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-PAPA-1KG-V9,20,1,26,3,7.18,1.02,17.7
FRS-FRU-ALL-JP6,4798870584169,Pineapple,Fresh Produce,Produce & Greens,Local,1kg,370.0,301.44,5,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-PINE-1KG-D2,10,1,27,27,40.34,1.02,3.3
FRS-VEG-ALL-BW5,4797949638307,Potatoes - Local,Fresh Produce,Produce & Greens,Local,1kg,400.0,320.81,9,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-POTA-1KG-KN,25,1,22,19,29.34,0.92,3.7
FRS-VEG-ALL-W64,4794578655576,Red Onions - Average,Fresh Produce,Produce & Greens,Local,1kg,519.95,436.25,8,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-REDO-1KG-GM,20,1,45,73,133.91,1.11,1.6
FRS-VEG-ALL-YE4,4796545122449,Red Pumpkin,Fresh Produce,Produce & Greens,Local,1kg,250.0,214.91,3,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-REDP-1KG-E8,20,1,15,0,2.62,1.11,28.1
FRS-GRE-ALL-CE6,4790363094421,Sarana,Fresh Produce,Produce & Greens,Local,1 bunch,80.0,64.85,5,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-SARA-1BUN-4D,10,1,17,6,28.87,1.16,2.9
FRS-VEG-ALL-TA5,4791979797249,Snake Gourd,Fresh Produce,Produce & Greens,Local,1kg,380.0,310.29,6,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-SNAK-1KG-KT,10,1,28,28,11.94,1.0,11.5
FRS-FRU-ALL-VAW,4797394059801,Sour Plantain,Fresh Produce,Produce & Greens,Local,1kg,165.0,134.67,10,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-SOUR-1KG-5A,15,1,60,108,111.13,1.14,2.6
FRS-GRE-ALL-XTB,4797342031972,Thampala,Fresh Produce,Produce & Greens,Local,1 bunch,80.0,64.46,3,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-THAM-1BUN-8U,30,1,42,0,10.18,0.91,20.2
FRS-VEG-ALL-NAJ,4799586841966,Tomatoe - No 1.,Fresh Produce,Produce & Greens,Local,1kg,409.9,330.32,5,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-TOMA-1KG-RQ,15,1,42,21,50.51,1.04,4.1
FRS-VEG-ALL-G6N,4790662931519,Vetakolu,Fresh Produce,Produce & Greens,Local,1kg,350.0,296.8,6,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-VETA-1KG-F7,15,1,33,16,10.1,1.26,16.0
FRS-VEG-ALL-RJ7,4792371798902,Kohila Yams,Fresh Produce,Produce & Greens,Local,500g,115.0,92.49,5,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-KOHI-500G-LQ,12,1,58,117,391.56,1.25,1.0
FRS-VEG-ALL-DT7,4797954176757,Beans - Green,Fresh Produce,Produce & Greens,Local,500g,249.95,203.22,10,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-BEAN-500G-NE,24,1,49,89,64.76,0.96,3.7
FRS-VEG-ALL-VZ2,4792683848876,Cap Chillies,Fresh Produce,Produce & Greens,Local,500g,309.95,258.42,3,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-CAPC-500G-PB,6,1,16,0,11.75,1.15,6.7
FRS-VEG-ALL-FGK,4799886182073,Drumstick,Fresh Produce,Produce & Greens,Local,500g,330.0,272.67,8,True,HIGH,Local Produce Collectors - Galle,LOC-DRUM-500G-32,24,1,53,65,185.51,0.92,1.4
FRS-VEG-ALL-QT5,4794970350673,Potatoes - Local,Fresh Produce,Produce & Greens,Local,500g,195.0,164.04,6,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-POTA-500G-74,24,1,29,51,45.54,1.07,3.1
FRS-FRU-ALL-GWX,4795057052183,Limes,Fresh Produce,Produce & Greens,Local,500g,290.0,235.01,6,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-LIME-500G-QT,24,1,32,30,22.15,1.12,7.1
FRS-VEG-ALL-GKQ,4795036871569,Bitter Guard,Fresh Produce,Produce & Greens,Local,500g,239.95,193.7,3,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-BITT-500G-EC,24,1,55,0,39.9,1.12,6.8
FRS-VEG-ALL-S48,4799403664013,Bandakka,Fresh Produce,Produce & Greens,Local,500g,155.0,130.72,7,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-BAND-500G-PJ,24,1,35,7,10.57,0.95,16.2
FRS-VEG-ALL-6QG,4798683029154,Capsicum,Fresh Produce,Produce & Greens,Local,500g,380.0,306.03,5,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-CAPS-500G-ZV,24,1,25,26,23.44,0.9,5.2
FRS-VEG-ALL-R52,4790734467465,Tomatoe - No 1.,Fresh Produce,Produce & Greens,Local,500g,209.95,177.22,7,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-TOMA-500G-HY,24,1,55,58,74.62,1.31,3.6
FRS-VEG-ALL-AXA,4792218169810,Carrot,Fresh Produce,Produce & Greens,Local,500g,220.0,184.49,10,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-CARR-500G-GQ,12,1,32,59,85.98,1.2,1.8
FRS-FRU-ALL-J3U,4793302650993,Papaw,Fresh Produce,Produce & Greens,Local,500g,130.5,110.71,5,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-PAPA-500G-MH,24,1,27,17,5.63,1.12,23.5
FRS-FRU-ALL-3RT,4792022234995,Ash Plantain,Fresh Produce,Produce & Greens,Local,500g,110.0,94.51,8,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-ASHP-500G-CE,6,1,43,78,23.16,1.05,9.1
FRS-VEG-ALL-VT3,4791440923351,Green Chillies,Fresh Produce,Produce & Greens,Local,500g,320.0,276.53,5,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-GREE-500G-7V,12,1,38,18,113.44,1.04,1.6
FRS-VEG-ALL-PEY,4796955922776,Red Pumpkin,Fresh Produce,Produce & Greens,Local,500g,125.5,102.44,9,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-REDP-500G-SF,12,1,53,65,27.73,1.25,9.4
FRS-VEG-ALL-TUS,4798672288395,Ash Pumpkin,Fresh Produce,Produce & Greens,Local,500g,115.0,97.1,6,True,HIGH,Local Produce Collectors - Galle,LOC-ASHP-500G-V8,6,1,29,6,45.4,1.22,3.1
FRS-VEG-ALL-KYF,4791497887958,Cucumber,Fresh Produce,Produce & Greens,Local,500g,90.0,74.5,6,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-CUCU-500G-EJ,24,1,15,8,39.32,1.07,1.9
FRS-FRU-ALL-DDG,4798731439157,Pineapple,Fresh Produce,Produce & Greens,Local,500g,185.0,160.15,8,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-PINE-500G-ES,6,1,42,34,35.45,1.18,5.8
FRS-VEG-ALL-3W5,4794257068024,Red Onions - Average,Fresh Produce,Produce & Greens,Local,500g,269.95,225.78,3,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-REDO-500G-NR,24,1,19,3,3.33,0.95,28.0
FRS-VEG-ALL-XXB,4795224114201,Knol Khol,Fresh Produce,Produce & Greens,Local,500g,175.0,149.76,9,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-KNOL-500G-48,6,1,21,31,20.34,1.13,5.1
FRS-VEG-ALL-JJJ,4794005392227,Brinjal,Fresh Produce,Produce & Greens,Local,500g,210.0,179.4,5,True,HIGH,Local Produce Collectors - Galle,LOC-BRIN-500G-Z2,6,1,56,20,84.02,1.23,3.3
FRS-VEG-ALL-QGN,4793252861326,Beans - Butter,Fresh Produce,Produce & Greens,Local,500g,289.95,240.94,6,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-BEAN-500G-SX,12,1,58,67,36.56,1.1,7.8
FRS-FRU-ALL-MS5,4796342095366,Sour Plantain,Fresh Produce,Produce & Greens,Local,500g,85.5,71.68,3,True,HIGH,Hikkaduwa Fresh Produce Supply Co. W76,LOC-SOUR-500G-8R,12,1,57,0,53.13,1.09,5.3
FRS-VEG-ALL-3ZX,4799147625387,BeetRoot,Fresh Produce,Produce & Greens,Local,500g,190.0,155.89,9,True,HIGH,Local Produce Collectors - Galle,LOC-BEET-500G-44,12,1,21,28,62.35,0.97,1.7
FRS-FRU-ALL-35W,4793538962983,Kolikuttu,Fresh Produce,Produce & Greens,Local,500g,165.0,133.3,7,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-KOLI-500G-RK,12,1,27,32,12.62,1.05,10.5
FRS-VEG-ALL-4NQ,4795434685867,Leeks,Fresh Produce,Produce & Greens,Local,250g,85.5,73.82,10,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-LEEK-250G-B4,6,1,40,77,6.49,1.15,30.2
FRS-FRU-ALL-QFG,4796837103071,Anamalu,Fresh Produce,Produce & Greens,Local,250g,65.0,54.55,8,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-ANAM-250G-8J,12,1,18,30,9.13,0.9,9.7
FRS-VEG-ALL-J2T,4799312146396,B.Onions - Local,Fresh Produce,Produce & Greens,Local,250g,60.5,48.56,3,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-BONI-250G-63,6,1,35,0,25.67,1.35,6.7
FRS-VEG-ALL-NG7,4792994036948,Garlic,Fresh Produce,Produce & Greens,Local,250g,155.0,126.52,6,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-GARL-250G-FH,6,1,56,0,40.23,1.13,6.8
FRS-VEG-ALL-PXQ,4799101612590,Long Beans,Fresh Produce,Produce & Greens,Local,250g,90.0,73.88,6,True,HIGH,Local Produce Collectors - Galle,LOC-LONG-250G-H3,24,1,30,20,182.71,1.23,1.0
FRS-VEG-ALL-8PT,4798140984101,Vetakolu,Fresh Produce,Produce & Greens,Local,250g,95.0,81.09,9,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-VETA-250G-59,24,1,28,26,3.91,0.9,35.1
FRS-VEG-ALL-VLC,4792886616807,Snake Gourd,Fresh Produce,Produce & Greens,Local,250g,105.0,85.56,3,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-SNAK-250G-CR,12,1,24,0,23.98,1.1,4.9
FRS-GRE-ALL-PWN,4791607917919,Gotukola,Fresh Produce,Produce & Greens,Local,2 bunch,105.0,84.76,2,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-GOTU-2BUN-2D,10,1,35,2,25.18,0.89,6.8
FRS-GRE-ALL-BJV,4797028814110,Kankun,Fresh Produce,Produce & Greens,Local,2 bunch,135.0,111.73,4,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-KANK-2BUN-7V,20,1,23,0,10.09,1.31,11.2
FRS-GRE-ALL-5NE,4793810749165,Kathurumurunga,Fresh Produce,Produce & Greens,Local,2 bunch,145.0,120.93,4,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-KATH-2BUN-UL,10,1,56,18,25.32,0.89,10.8
FRS-GRE-ALL-M2E,4796845525278,Kohila Leaves,Fresh Produce,Produce & Greens,Local,2 bunch,145.0,125.53,5,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-KOHI-2BUN-EA,10,1,55,35,63.19,1.32,4.3
FRS-GRE-ALL-52U,4798993005190,Mukunuwenna,Fresh Produce,Produce & Greens,Local,2 bunch,145.0,120.63,4,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-MUKU-2BUN-56,20,1,57,51,66.45,1.1,4.2
STR-MEA-7K23JZ,4796504607000,Chicken Whole,Meat & Seafood,Poultry & Meat,Local,1kg,1489.95,1197.89,2,True,HIGH,Southern Fish Suppliers,LOC-CHIC-1KG-UT,10,1,29,0,8.88,1.23,16.0
STR-MEA-GAA44D,4794172820769,Chicken Leg,Meat & Seafood,Poultry & Meat,Local,1kg,989.95,791.93,5,True,HIGH,Southern Fish Suppliers,LOC-CHIC-1KG-NH,10,1,37,0,8.14,0.91,22.3
STR-MEA-8WKNYV,4790041084799,Chicken Breast,Meat & Seafood,Poultry & Meat,Local,1kg,979.95,829.54,4,True,HIGH,Southern Fish Suppliers,LOC-CHIC-1KG-QZ,10,1,60,60,46.28,1.18,6.4
STR-MEA-KLJA5U,4791578097832,Chicken Wings,Meat & Seafood,Poultry & Meat,Local,1kg,1089.95,866.43,5,True,HIGH,Southern Fish Suppliers,LOC-CHIC-1KG-JB,10,1,16,26,1.58,1.2,49.6
STR-MEA-GSU847,4794280218892,Eggs,Meat & Seafood,Eggs,Local,10 pcs,190.0,149.94,3,True,HIGH,Southern Fish Suppliers,LOC-EGGS-10PC-B2,6,1,37,0,5.99,1.24,30.3
STR-MEA-Q6SR3A,4795585575994,Eggs Tray,Meat & Seafood,Eggs,Local,30 pcs,450.0,360.93,2,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-EGGS-30PC-BT,6,1,51,7,558.66,1.24,1.0
STR-MEA-5A2ED2,4795673374577,Tuna - Chilled,Meat & Seafood,Seafood,Seafood,1kg,1249.95,984.69,6,True,HIGH,Southern Fish Suppliers,SEA-TUNA-1KG-F3,20,1,24,17,29.78,1.12,3.9
STR-MEA-TN83L3,4794447725089,Mackerel - Chilled,Meat & Seafood,Seafood,Seafood,1kg,1389.9,1156.33,2,True,HIGH,Hambantota Meat Supply Co. VAV,SEA-MACK-1KG-MR,15,1,31,0,6.95,0.86,21.9
STR-MEA-R3GWXW,4797490627966,Seer Fish - Chilled,Meat & Seafood,Seafood,Seafood,1kg,2819.95,2252.33,4,True,HIGH,Southern Fish Suppliers,SEA-SEER-1KG-LT,15,1,38,9,318.35,0.94,1.0
STR-MEA-FWJ2QC,4794029662993,Prawns - Chilled,Meat & Seafood,Seafood,Seafood,500g,1249.9,1043.21,3,True,HIGH,Southern Fish Suppliers,SEA-PRAW-500G-6L,6,1,46,0,29.43,0.9,7.7
STR-MEA-RM32P8,4790632503135,Mackerel - Chilled 10 pcs,Meat & Seafood,Seafood,Local,10 pcs,1260.0,991.72,4,True,HIGH,Southern Fish Suppliers,LOC-MACK-10PC-CV,24,1,37,4,22.81,1.12,7.9
STR-MEA-9FDADB,4792956162258,Seer Fish - Chilled 1kg,Meat & Seafood,Seafood,Local,1kg,2649.9,2133.75,5,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-SEER-1KG-T9,10,1,47,26,22.87,0.85,10.1
STR-MEA-PJQF27,4797814564748,Chicken Whole 10 pcs,Meat & Seafood,Poultry & Meat,Local,10 pcs,1599.9,1355.79,4,True,HIGH,Southern Fish Suppliers,LOC-CHIC-10PC-6A,24,1,22,0,9.44,1.12,11.4
STR-MEA-545XDY,4792761209285,Chicken Leg 1kg,Meat & Seafood,Poultry & Meat,Local,1kg,929.95,759.06,5,True,HIGH,Southern Fish Suppliers,LOC-CHIC-1KG-W8,10,1,41,0,71.95,0.91,2.8
STR-MEA-B285PX,4793223718598,Tuna - Chilled 30 pcs,Meat & Seafood,Seafood,Local,30 pcs,1880.0,1506.44,5,True,HIGH,Southern Fish Suppliers,LOC-TUNA-30PC-EJ,12,1,55,64,28.38,1.02,9.5
STR-MEA-NBCBR7,4795398923135,Tuna - Chilled 10 pcs,Meat & Seafood,Seafood,Local,10 pcs,1279.95,1070.89,4,True,HIGH,Southern Fish Suppliers,LOC-TUNA-10PC-S5,12,1,53,0,5.4,1.1,48.1
STR-MEA-N94XEX,4793820114069,Eggs 30 pcs,Meat & Seafood,Eggs,Local,30 pcs,550.0,462.06,7,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-EGGS-30PC-L5,12,1,33,45,47.61,0.94,3.4
STR-MEA-WYQR9Z,4796569764878,Seer Fish - Chilled 30 pcs,Meat & Seafood,Seafood,Local,30 pcs,1979.95,1652.29,4,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-SEER-30PC-5L,6,1,32,0,144.57,1.18,1.1
STR-MEA-J4W2XH,4792062767293,Seer Fish - Chilled 500g,Meat & Seafood,Seafood,Local,500g,2429.95,2058.27,5,True,HIGH,Southern Fish Suppliers,LOC-SEER-500G-WB,24,1,43,23,13.16,0.96,16.0
STR-MEA-ZAMKNU,4797780457976,Chicken Breast 500g,Meat & Seafood,Poultry & Meat,Local,500g,949.95,776.29,7,True,HIGH,Southern Fish Suppliers,LOC-CHIC-500G-ZH,24,1,33,62,16.3,0.94,9.9
STR-MEA-RN6KDT,4795167670635,Eggs 500g,Meat & Seafood,Eggs,Local,500g,175.5,142.04,3,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-EGGS-500G-QJ,24,1,42,43,54.74,1.2,3.8
STR-MEA-UTJ2SP,4793367960822,Chicken Breast 30 pcs,Meat & Seafood,Poultry & Meat,Local,30 pcs,869.9,685.6,7,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-CHIC-30PC-9F,24,1,28,21,5.4,0.95,25.4
STR-MEA-4TDHNK,4794951935004,Mackerel - Chilled 30 pcs,Meat & Seafood,Seafood,Local,30 pcs,1620.0,1370.09,4,True,HIGH,Southern Fish Suppliers,LOC-MACK-30PC-GX,12,1,40,35,9.69,1.14,20.2
STR-MEA-CUSEDU,4790431566850,Chicken Leg 30 pcs,Meat & Seafood,Poultry & Meat,Local,30 pcs,1329.9,1042.92,7,True,HIGH,Southern Fish Suppliers,LOC-CHIC-30PC-PX,6,1,48,87,204.79,0.94,1.1
STR-MEA-G3W2U6,4791778401903,Eggs 10 pcs,Meat & Seafood,Eggs,Local,10 pcs,199.9,160.89,2,True,HIGH,Southern Fish Suppliers,LOC-EGGS-10PC-7G,12,1,53,0,44.42,1.04,5.8
STR-MEA-5HF826,4795983326174,Mackerel - Chilled 1kg,Meat & Seafood,Seafood,Local,1kg,1020.0,834.4,6,True,HIGH,Southern Fish Suppliers,LOC-MACK-1KG-WB,20,1,49,64,29.55,1.07,8.1
STR-MEA-RRLUL2,4796217758013,Tuna - Chilled 1kg,Meat & Seafood,Seafood,Local,1kg,1619.9,1331.1,4,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-TUNA-1KG-T5,25,1,50,0,9.31,1.2,26.3
STR-MEA-M825QS,4795150252855,Chicken Breast 10 pcs,Meat & Seafood,Poultry & Meat,Local,10 pcs,959.9,755.77,5,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-CHIC-10PC-5G,6,1,15,2,6.32,1.22,11.6
STR-MEA-7QL888,4797118425271,Seer Fish - Chilled 10 pcs,Meat & Seafood,Seafood,Local,10 pcs,2630.0,2080.31,7,True,HIGH,Hambantota Meat Supply Co. VAV,LOC-SEER-10PC-NA,24,1,18,0,0.89,0.87,99.1
