sku,barcode,productName,category,brand,unitSize,baseUnitPriceLKR,typicalShelfLifeDays,supplier,caseSize,maxShelfCapacityUnits,widthCm,heightCm,depthCm,unitCostLKR,minFacings,maxFacings
LK-RIC-VAIY4,4799049027876,Catch Rice Suduru Samba 1kg,Rice & Grains,Catch,1kg,365.0,626,Ceylon Catch PLC,21,42,14.4,19.0,8.5,331.83,1,4
LK-RIC-LYK83,4798071545167,Akshata Suwandel Rice 800g,Rice & Grains,Akshata,800g,344.67,181,Akshata Agri Products,23,115,13.3,13.1,9.2,300.04,2,8
LK-RIC-PBJEK,4797109324804,Akshata Kuruluthuda Rice 800g,Rice & Grains,Akshata,800g,286.89,296,Akshata Agri Products,9,27,15.0,27.3,11.7,262.33,2,6
LK-RIC-49ITN,4799821465841,Akshata Pachchaperumal Rice 800g,Rice & Grains,Akshata,800g,336.48,485,Akshata Agri Products,24,120,22.3,20.1,11.2,303.85,2,7
LK-RIC-1N759,4793963605769,Akshata Kaluheenati Rice 800g,Rice & Grains,Akshata,800g,256.18,335,Akshata Agri Products,7,21,15.0,23.9,17.8,225.48,2,3
LK-RIC-SQ0OX,4792174596156,Ariya Pure Basmathi Rice 1kg,Rice & Grains,Ariya,1kg,353.23,569,Ariya Trading,21,42,17.3,14.3,14.6,306.76,2,4
LK-RIC-0PDW5,4797240050457,India Gate Basmati Rice Excel 5kg,Rice & Grains,India Gate,5kg,1229.76,723,KRBL Limited (India),24,72,8.4,10.1,17.8,1120.64,3,8
LK-RIC-I6FQJ,4794074821758,India Gate Basmati Rice Exotic 1kg,Rice & Grains,India Gate,1kg,378.24,614,KRBL Limited (India),14,70,21.9,13.4,9.5,341.18,2,3
LK-RIC-IUU9K,4796409097432,Dunar Basmathi Rice Daily 5kg,Rice & Grains,Dunar,5kg,1419.12,374,Dunar Foods (India),14,42,17.6,32.4,14.0,1275.59,2,6
LK-RIC-BNE6L,4796232858842,Dunar Basmathi Rice Nawazish 1kg,Rice & Grains,Dunar,1kg,349.19,673,Dunar Foods (India),16,32,14.4,10.0,15.8,315.86,1,8
LK-RIC-0982N,4796048175492,Tilda Pure Original Basmathi 5kg,Rice & Grains,Tilda,5kg,1234.8,560,Tilda Limited (UK),13,65,5.5,31.9,12.5,1088.71,3,4
LK-RIC-XWQZX,4791200471139,Turkey Basmathi Rice 2kg,Rice & Grains,Turkey,2kg,700.07,644,Turkey Foods Lanka,23,115,16.7,27.6,18.1,638.36,3,3
LK-DRY-4W7KY,4793773515852,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,338.5,305,Fonterra Brands Lanka,17,51,17.8,24.1,3.4,299.04,2,4
LK-DRY-92H3T,4799335290427,Catch Channa Dhal 500g,Dry Rations,Catch,500g,448.55,997,Ceylon Catch PLC,19,38,7.6,17.7,16.4,389.16,3,5
LK-DRY-AJEPE,4791775891783,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,234.2,924,Ceylon Catch PLC,45,180,14.2,34.0,4.0,202.14,2,6
LK-DRY-PDZP6,4795921249985,Catch Toor Dhal 500g,Dry Rations,Catch,500g,371.49,791,Ceylon Catch PLC,30,150,15.1,19.6,16.5,325.85,1,8
LK-DRY-X1ZHQ,4793657661569,Catch Chick Peas 500g,Dry Rations,Catch,500g,259.66,336,Ceylon Catch PLC,42,84,6.8,10.3,10.3,229.72,3,8
LK-DRY-NEC8U,4791656049456,Catch Kidney Beans 250g,Dry Rations,Catch,250g,101.71,338,Ceylon Catch PLC,42,126,21.9,17.5,12.5,88.44,1,5
LK-DRY-U3493,4799809402448,MD Curry Powder 100g,Dry Rations,MD,100g,183.59,365,MD Holdings (Private) Limited,48,240,6.4,28.0,19.5,161.37,1,8
LK-DRY-TNQFL,4795991022907,MD Chilli Powder 200g,Dry Rations,MD,200g,252.24,857,MD Holdings (Private) Limited,43,215,13.3,13.8,11.7,222.9,2,6
LK-DRY-DYVSL,4793690034320,MD Turmeric Powder 50g,Dry Rations,MD,50g,91.13,302,MD Holdings (Private) Limited,43,215,8.5,18.3,15.0,80.43,3,7
LK-DRY-43C5B,4790715969667,Catch Curry Powder 200g,Dry Rations,Catch,200g,194.3,512,Ceylon Catch PLC,41,164,6.8,30.8,7.1,170.15,3,6
LK-DRY-SOLML,4792181883553,Catch Chilli Powder 100g,Dry Rations,Catch,100g,158.53,1014,Ceylon Catch PLC,27,54,7.9,13.3,13.2,134.88,3,3
LK-DRY-G1R11,4797995527174,Catch Pepper Powder 50g,Dry Rations,Catch,50g,68.6,461,Ceylon Catch PLC,15,60,15.1,16.4,10.7,60.5,1,5
LK-DRY-3C54W,4798679807933,MA's Curry Powder 100g,Dry Rations,MA's,100g,106.1,334,MA's Kitchen (Private) Limited,40,80,21.2,30.6,19.7,92.46,1,7
LK-DRY-XBZ9S,4799255466599,MA's Chilli Powder 250g,Dry Rations,MA's,250g,93.99,522,MA's Kitchen (Private) Limited,33,66,16.2,18.4,7.3,81.03,3,7
LK-DRY-5MUFM,4796291486529,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,151.12,936,MA's Kitchen (Private) Limited,45,90,17.9,19.4,9.2,128.5,2,5
LK-DRY-GH8RI,4792214188808,Wijaya Curry Powder 250g,Dry Rations,Wijaya,250g,185.84,812,Wijaya Products (Private) Limited,36,108,8.2,30.4,16.1,157.48,1,8
LK-DRY-POYIP,4794738347358,Wijaya Chilli Powder 100g,Dry Rations,Wijaya,100g,152.19,631,Wijaya Products (Private) Limited,30,150,15.1,19.3,5.8,131.76,1,7
LK-DRY-EJX5T,4791814124780,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,172.88,407,McCurrie Products (Private) Limited,34,68,13.3,18.7,9.4,151.06,2,3
LK-DRY-NB74X,4792204727796,Mccurrie Unroasted Curry Powder 100g,Dry Rations,Mccurrie,100g,65.25,442,McCurrie Products (Private) Limited,21,105,7.2,15.8,8.1,58.42,1,4
LK-DRY-P2QD6,4799808932465,Marina Coconut Oil 2.9L,Dry Rations,Marina,2.9L,1616.1,764,Ceylon Oils & Fats Corporation,23,46,15.5,17.7,19.2,1420.28,3,7
LK-DRY-2SA5B,4796540515314,Marina Sunflower Oil 500ml,Dry Rations,Marina,500ml,439.77,520,Ceylon Oils & Fats Corporation,14,56,15.9,30.0,6.0,376.4,3,6
LK-DRY-9RGEZ,4797043030540,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,329.5,736,Adani Wilmar Limited,28,56,20.1,13.2,9.1,277.0,1,8
LK-DRY-LEN60,4796527758413,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,1037.04,796,Adani Wilmar Limited,46,184,11.4,10.2,14.2,928.42,2,6
LK-DRY-VPYMB,4795964016582,Fortune Corn Oil 1L,Dry Rations,Fortune,1L,1076.87,211,Adani Wilmar Limited,40,80,7.5,14.4,14.0,925.29,2,6
LK-DRY-8BFQN,4797192856541,Renuka Coconut Milk Powder 300g,Dry Rations,Renuka,300g,347.02,933,Renuka Agri Foods PLC,43,215,23.3,11.2,16.2,309.96,3,6
LK-DRY-HWY9H,4792172715511,Maggi Coconut Milk Powder 300g,Dry Rations,Maggi,300g,401.99,487,Nestle Lanka PLC,23,92,15.2,11.3,6.4,354.78,1,4
LK-DRY-2ATN2,4798291146786,Marina Coconut Milk Powder 150g,Dry Rations,Marina,150g,246.79,768,Ceylon Oils & Fats Corporation,20,80,17.8,20.1,14.6,216.05,2,4
LK-DRY-52XG8,4796801824223,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,499.31,534,Fonterra Brands Lanka,30,60,10.0,25.1,12.4,428.12,1,8
LK-DRY-KTSG7,4792299590015,Catch Channa Dhal 500g,Dry Rations,Catch,500g,184.93,770,Ceylon Catch PLC,25,125,17.4,8.8,18.1,159.32,3,5
LK-DRY-XKI3O,4797102767738,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,267.4,1062,Ceylon Catch PLC,32,128,24.5,11.5,9.3,238.35,3,3
LK-DRY-LQJID,4794696325955,Catch Toor Dhal 500g,Dry Rations,Catch,500g,225.33,707,Ceylon Catch PLC,43,172,14.9,10.4,9.7,200.64,2,4
LK-DRY-HMBR5,4797480162453,Catch Chick Peas 500g,Dry Rations,Catch,500g,385.95,590,Ceylon Catch PLC,48,144,12.3,15.8,9.6,338.89,2,7
LK-DRY-K9YE9,4796558523981,Catch Kidney Beans 250g,Dry Rations,Catch,250g,146.58,219,Ceylon Catch PLC,33,165,15.4,12.0,18.2,131.56,1,5
LK-DRY-7LOW4,4799588879479,MD Curry Powder 200g,Dry Rations,MD,200g,273.59,869,MD Holdings (Private) Limited,38,152,20.9,27.6,14.7,240.18,1,7
LK-DRY-R821U,4790972896232,MD Chilli Powder 100g,Dry Rations,MD,100g,68.66,292,MD Holdings (Private) Limited,13,65,11.3,12.1,14.7,57.88,2,7
LK-DRY-1750C,4792838578658,MD Turmeric Powder 50g,Dry Rations,MD,50g,104.59,725,MD Holdings (Private) Limited,46,184,18.5,31.4,14.6,91.25,3,5
LK-DRY-VGIUI,4794437575847,Catch Curry Powder 100g,Dry Rations,Catch,100g,101.74,736,Ceylon Catch PLC,37,148,24.1,29.7,7.9,88.06,2,8
LK-DRY-C7X0H,4798484219938,Catch Chilli Powder 200g,Dry Rations,Catch,200g,187.21,723,Ceylon Catch PLC,26,52,7.0,16.9,11.0,160.97,3,4
LK-DRY-AT7O7,4797734540198,Catch Pepper Powder 50g,Dry Rations,Catch,50g,53.91,1050,Ceylon Catch PLC,23,115,22.6,12.7,18.6,46.13,2,6
LK-DRY-G05KB,4794991547885,MA's Curry Powder 250g,Dry Rations,MA's,250g,160.53,1051,MA's Kitchen (Private) Limited,41,164,8.9,11.0,5.8,135.44,2,8
LK-DRY-JG02U,4793296685162,MA's Chilli Powder 100g,Dry Rations,MA's,100g,151.01,323,MA's Kitchen (Private) Limited,32,96,5.1,18.4,10.6,134.23,2,5
LK-DRY-K0AXY,4790174268417,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,147.07,556,MA's Kitchen (Private) Limited,26,78,24.1,20.9,10.7,124.06,3,5
LK-DRY-OTQTX,4793391878513,Wijaya Curry Powder 100g,Dry Rations,Wijaya,100g,183.04,1028,Wijaya Products (Private) Limited,44,132,16.5,12.0,8.6,163.51,3,6
LK-DRY-EHUDS,4790728679089,Wijaya Chilli Powder 250g,Dry Rations,Wijaya,250g,155.77,920,Wijaya Products (Private) Limited,37,148,21.3,28.1,12.8,132.65,1,6
LK-DRY-MC97C,4797046226568,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,218.27,566,McCurrie Products (Private) Limited,17,51,18.1,17.4,6.0,184.43,3,6
LK-DRY-T0IAA,4794786863374,Mccurrie Unroasted Curry Powder 250g,Dry Rations,Mccurrie,250g,138.26,1076,McCurrie Products (Private) Limited,19,38,21.2,19.3,16.0,122.15,1,4
LK-DRY-HDBVZ,4790306738306,Marina Coconut Oil 1L,Dry Rations,Marina,1L,721.18,419,Ceylon Oils & Fats Corporation,48,192,16.5,28.9,16.9,606.07,1,5
LK-DRY-59SOJ,4798926870567,Marina Sunflower Oil 1L,Dry Rations,Marina,1L,1068.64,606,Ceylon Oils & Fats Corporation,21,84,12.5,28.4,11.0,941.34,1,5
LK-DRY-4FQCO,4796882634353,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,386.04,1047,Adani Wilmar Limited,17,51,6.0,18.2,13.3,326.07,1,3
LK-DRY-G10UR,4795403317393,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,1024.49,425,Adani Wilmar Limited,32,128,12.6,22.4,9.1,897.66,2,5
LK-BEV-SRD9Q,4795355609324,Elephant House Cream Soda 500ml,Beverages,Elephant House,500ml,162.24,479,Ceylon Cold Stores PLC,23,115,10.9,13.3,6.9,122.61,3,4
LK-BEV-RXYJ3,4797725228722,Elephant House Ginger Beer 1L,Beverages,Elephant House,1L,462.25,508,Ceylon Cold Stores PLC,20,40,21.8,10.0,16.9,349.76,1,3
LK-BEV-O4IZA,4798750997706,Elephant House Necto 1.5L,Beverages,Elephant House,1.5L,321.53,186,Ceylon Cold Stores PLC,20,80,15.7,15.7,11.5,243.04,3,8
LK-BEV-P7G7S,4793398454611,Elephant House Orange Crush 2L,Beverages,Elephant House,2L,512.75,469,Ceylon Cold Stores PLC,23,69,11.0,30.4,4.4,393.54,3,3
LK-BEV-DNTCA,4792176591807,Elephant House Lemonade 500ml,Beverages,Elephant House,500ml,191.85,534,Ceylon Cold Stores PLC,19,76,5.9,10.0,18.7,139.65,3,7
LK-BEV-XG4AH,4792614293966,Elephant House EGB 1.5L,Beverages,Elephant House,1.5L,478.86,376,Ceylon Cold Stores PLC,14,28,15.0,34.3,3.9,362.39,2,4
LK-BEV-4M18O,4795047735867,Coca-Cola Original 1050ml,Beverages,Coca-Cola,1050ml,363.14,518,Coca-Cola Beverages Sri Lanka Limited,13,52,21.0,27.3,4.4,270.77,1,6
LK-BEV-ZW0LD,4790475412120,Coca-Cola Zero 2L,Beverages,Coca-Cola,2L,529.43,442,Coca-Cola Beverages Sri Lanka Limited,13,26,6.8,23.0,13.1,399.95,2,6
LK-BEV-AO20U,4793982622440,Sprite Regular 2L,Beverages,Sprite,2L,482.62,265,Coca-Cola Beverages Sri Lanka Limited,16,80,11.0,29.1,9.1,380.45,1,8
LK-BEV-WVHDK,4796596575690,Sprite Zero 400ml,Beverages,Sprite,400ml,165.29,535,Coca-Cola Beverages Sri Lanka Limited,19,76,8.6,18.8,8.4,127.99,3,8
LK-BEV-W82LK,4796519398283,Fanta Orange 1050ml,Beverages,Fanta,1050ml,302.68,542,Coca-Cola Beverages Sri Lanka Limited,19,76,21.6,9.9,17.4,224.54,2,8
LK-BEV-RWIXZ,4796179796887,Fanta Cream Soda 1.5L,Beverages,Fanta,1.5L,536.69,394,Coca-Cola Beverages Sri Lanka Limited,12,48,19.0,29.9,13.1,392.02,1,3
LK-BEV-1XMXB,4796561014384,Fanta Portello 400ml,Beverages,Fanta,400ml,236.95,532,Coca-Cola Beverages Sri Lanka Limited,15,75,12.5,20.5,14.6,178.98,3,7
LK-BEV-F9RK7,4791125457386,Pepsi Cola 1.5L,Beverages,Pepsi,1.5L,433.31,404,Varun Beverages Lanka (Private) Limited,23,115,11.4,16.1,16.8,330.14,1,3
LK-BEV-4XYF9,4793828258673,Pepsi Can 250ml,Beverages,Pepsi,250ml,472.09,274,Varun Beverages Lanka (Private) Limited,22,110,12.9,27.9,18.0,362.38,2,7
LK-BEV-PAHKZ,4791918255373,7 Up Regular 2L,Beverages,7 Up,2L,438.14,430,Varun Beverages Lanka (Private) Limited,22,88,16.9,24.5,13.0,327.01,2,5
LK-BEV-4W3ZK,4799912513413,Mirinda Orange 1.5L,Beverages,Mirinda,1.5L,362.94,441,Varun Beverages Lanka (Private) Limited,18,54,16.5,19.4,11.3,270.22,3,8
LK-BEV-77GGK,4792579050727,Mountain Dew Bottle 1.5L,Beverages,Mountain Dew,1.5L,365.78,467,Varun Beverages Lanka (Private) Limited,22,110,13.2,21.3,15.1,281.39,2,6
LK-BEV-GU2HB,4793842797882,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,437.92,458,Varun Beverages Lanka (Private) Limited,20,40,20.2,19.9,6.7,346.33,2,3
LK-BEV-0XI5B,4794517133950,Kist Orange Nectar 1L,Beverages,Kist,1L,450.34,399,Kist Products (Private) Limited,21,63,20.7,30.0,16.7,338.29,3,5
LK-BEV-TVG9K,4799481260428,Kist Mixed Fruit Nectar 200ml,Beverages,Kist,200ml,160.14,254,Kist Products (Private) Limited,17,51,20.2,26.3,11.3,126.42,3,8
LK-BEV-JOQW5,4791684577594,Kist Mango Nectar 1L,Beverages,Kist,1L,267.18,227,Kist Products (Private) Limited,19,76,22.0,29.5,9.8,197.2,2,4
LK-BEV-RLKTE,4797500170123,Kist Woodapple Nectar 200ml,Beverages,Kist,200ml,132.4,399,Kist Products (Private) Limited,23,69,22.6,16.2,17.9,105.92,2,3
LK-BEV-XJN6F,4796436110371,MD Cordial Mixed Fruit 750ml,Beverages,MD,750ml,203.63,445,MD Holdings (Private) Limited,19,38,5.2,17.3,5.1,153.23,2,8
LK-BEV-ECN0D,4795542622181,MD Cordial Mango 400ml,Beverages,MD,400ml,215.42,264,MD Holdings (Private) Limited,17,51,17.6,12.1,10.0,161.82,3,6
LK-BEV-4DD1V,4796565234139,MD Cordial Passion Fruit 750ml,Beverages,MD,750ml,274.63,491,MD Holdings (Private) Limited,24,48,22.0,25.8,8.1,206.52,3,7
LK-BEV-S0KB6,4793761379183,Milo Malt Drink 200g,Beverages,Milo,200g,657.7,364,Nestle Lanka PLC,14,70,22.2,23.3,9.2,525.53,3,4
LK-BEV-181AC,4794300684867,Nestomalt Malt Drink 175g,Beverages,Nestomalt,175g,432.93,507,Nestle Lanka PLC,20,60,10.5,16.4,11.7,332.41,1,4
LK-BEV-TOW4Y,4791463031613,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,959.27,338,Unilever Sri Lanka Limited,23,69,7.4,27.1,14.9,720.7,1,6
LK-BEV-8S2ZG,4792410564819,Aquafina Bottled Drinking Water 1.5L,Beverages,Aquafina,1.5L,381.69,501,Varun Beverages Lanka (Private) Limited,19,95,15.2,9.5,17.6,275.58,1,5
LK-BEV-F16YE,4798000307569,Red Bull Energy Drink 250ml,Beverages,Red Bull,250ml,670.33,198,Red Bull Lanka (Private) Limited,24,120,9.5,14.7,18.6,526.67,2,5
LK-BEV-3UEYB,4793806174452,Elephant House Cream Soda 1L,Beverages,Elephant House,1L,285.09,368,Ceylon Cold Stores PLC,16,64,19.8,14.5,9.3,217.66,2,4
LK-BEV-0T2F7,4790385050641,Elephant House Ginger Beer 500ml,Beverages,Elephant House,500ml,174.4,301,Ceylon Cold Stores PLC,19,38,24.5,11.8,7.8,132.13,1,4
LK-BEV-6SZN9,4791918261992,Elephant House Necto 1L,Beverages,Elephant House,1L,279.95,246,Ceylon Cold Stores PLC,16,64,22.0,33.0,9.7,209.12,3,5
LK-BEV-LJCH2,4799121277564,Elephant House Orange Crush 1.5L,Beverages,Elephant House,1.5L,348.32,286,Ceylon Cold Stores PLC,16,80,10.3,11.2,5.7,268.67,3,5
LK-BEV-3ZB4L,4791356804423,Elephant House Lemonade 1.5L,Beverages,Elephant House,1.5L,327.28,411,Ceylon Cold Stores PLC,23,69,6.9,10.8,16.5,251.24,1,3
LK-BEV-C2IHO,4791994101373,Elephant House EGB 500ml,Beverages,Elephant House,500ml,272.21,349,Ceylon Cold Stores PLC,12,60,6.0,33.0,10.4,215.77,3,6
LK-BEV-RNPM6,4794472099933,Coca-Cola Original 400ml,Beverages,Coca-Cola,400ml,225.27,461,Coca-Cola Beverages Sri Lanka Limited,12,24,10.6,11.7,6.4,171.23,3,4
LK-BEV-W2292,4795787598562,Coca-Cola Zero 400ml,Beverages,Coca-Cola,400ml,181.06,485,Coca-Cola Beverages Sri Lanka Limited,12,48,6.2,34.8,12.0,144.47,3,4
LK-BEV-9DXJ3,4790396522397,Sprite Regular 400ml,Beverages,Sprite,400ml,186.64,363,Coca-Cola Beverages Sri Lanka Limited,12,48,24.0,23.2,12.6,138.29,1,6
LK-BEV-TGBCV,4790870593257,Sprite Zero 400ml,Beverages,Sprite,400ml,233.44,345,Coca-Cola Beverages Sri Lanka Limited,12,36,16.7,32.8,16.2,169.59,3,5
LK-BEV-8N7OD,4794522675285,Fanta Orange 1.5L,Beverages,Fanta,1.5L,482.73,362,Coca-Cola Beverages Sri Lanka Limited,22,66,12.6,27.8,8.0,350.31,1,8
LK-BEV-AZU41,4799029593919,Fanta Cream Soda 400ml,Beverages,Fanta,400ml,259.23,219,Coca-Cola Beverages Sri Lanka Limited,17,68,8.4,31.9,4.5,204.47,3,8
LK-BEV-X5QJI,4791541006762,Fanta Portello 1050ml,Beverages,Fanta,1050ml,443.36,432,Coca-Cola Beverages Sri Lanka Limited,17,85,7.0,20.9,17.7,323.32,3,8
LK-BEV-IQ2BA,4794115262182,Pepsi Cola 2L,Beverages,Pepsi,2L,676.56,353,Varun Beverages Lanka (Private) Limited,21,105,19.1,19.6,14.1,488.31,3,6
LK-BEV-FDHGZ,4798444310699,Pepsi Can 250ml,Beverages,Pepsi,250ml,563.62,207,Varun Beverages Lanka (Private) Limited,12,60,6.8,30.2,13.6,428.75,2,4
LK-BEV-DHW9R,4791467741860,7 Up Regular 1.5L,Beverages,7 Up,1.5L,363.37,369,Varun Beverages Lanka (Private) Limited,19,38,10.3,20.6,6.8,264.95,2,7
LK-BEV-C1YDM,4798693806868,Mirinda Orange 2L,Beverages,Mirinda,2L,683.41,423,Varun Beverages Lanka (Private) Limited,15,75,11.0,18.7,17.5,509.16,1,7
LK-BEV-USU9F,4797223320614,Mountain Dew Bottle 500ml,Beverages,Mountain Dew,500ml,297.03,501,Varun Beverages Lanka (Private) Limited,21,84,11.4,27.6,16.7,227.28,1,6
LK-BEV-UT4S7,4790998616227,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,568.49,231,Varun Beverages Lanka (Private) Limited,21,42,20.7,31.4,18.0,428.29,2,5
LK-BEV-NRVBJ,4792996065304,Kist Orange Nectar 200ml,Beverages,Kist,200ml,164.87,370,Kist Products (Private) Limited,17,68,11.2,30.8,17.6,119.75,3,3
