Date,AvgTemperatureC,MaxTemperatureC,MinTemperatureC,RainfallMM,RainfallIntensity,Condition,HumidityPercent,WindSpeedKmh,IsExtremeWeather
2022-04-27,30.9,33.8,28.0,0.0,None,Clear,68,12,False
2022-04-28,30.5,33.5,27.5,0.0,None,Cloudy,69,10,False
2022-04-29,30.0,32.6,27.4,0.0,None,Partly Cloudy,65,10,False
2022-04-30,31.1,33.8,28.5,1.3,Light,Light Rain,73,5,False
2022-05-01,28.1,30.9,25.2,0.0,None,Cloudy,69,11,False
2022-05-02,28.1,30.9,25.4,0.0,None,Cloudy,68,8,False
2022-05-03,27.9,30.8,25.0,0.0,None,Cloudy,68,12,False
2022-05-04,28.8,31.4,26.2,2.5,Light,Light Rain,69,10,False
2022-05-05,28.8,31.6,26.0,0.0,None,Partly Cloudy,65,8,False
2022-05-06,27.8,30.8,24.8,15.7,Moderate,Moderate Rain,78,11,False
2022-05-07,28.7,31.5,25.8,26.2,Heavy,Heavy Rain,80,7,False
2022-05-08,28.9,31.7,26.1,0.0,None,Partly Cloudy,68,13,False
2022-05-09,27.7,30.0,25.5,1.6,Light,Light Rain,73,7,False
2022-05-10,27.5,30.3,24.6,0.0,None,Partly Cloudy,66,8,False
2022-05-11,29.1,32.4,25.8,18.4,Moderate,Moderate Rain,74,13,False
2022-05-12,28.0,30.7,25.3,4.7,Light,Light Rain,68,12,False
2022-05-13,29.4,32.8,26.0,0.0,None,Clear,76,8,False
2022-05-14,28.9,32.1,25.8,0.0,None,Cloudy,77,8,False
2022-05-15,27.8,31.0,24.7,8.0,Moderate,Moderate Rain,76,10,False
2022-05-16,29.2,32.1,26.4,17.9,Moderate,Moderate Rain,72,9,False
2022-05-17,28.3,31.2,25.5,8.0,Moderate,Moderate Rain,71,12,False
2022-05-18,28.6,31.3,25.9,0.0,None,Partly Cloudy,76,14,False
2022-05-19,29.5,32.4,26.5,0.0,None,Cloudy,65,14,False
2022-05-20,29.0,31.5,26.5,0.0,None,Clear,68,11,False
2022-05-21,29.4,31.7,27.1,1.3,Light,Light Rain,73,10,False
2022-05-22,28.2,31.3,25.2,1.4,Light,Light Rain,64,9,False
2022-05-23,28.8,31.5,26.0,0.0,None,Cloudy,70,9,False
2022-05-24,28.4,30.8,25.9,0.0,None,Partly Cloudy,70,10,False
2022-05-25,28.4,31.8,24.9,0.0,None,Clear,75,5,False
2022-05-26,28.5,31.3,25.7,0.0,None,Partly Cloudy,68,10,False
2022-05-27,29.1,32.2,26.1,0.0,None,Partly Cloudy,75,14,False
2022-05-28,27.8,31.0,24.6,0.0,None,Clear,71,10,False
2022-05-29,28.4,31.3,25.5,0.0,None,Cloudy,72,9,False
2022-05-30,27.9,31.5,24.3,0.0,None,Cloudy,70,7,False
2022-05-31,29.7,33.0,26.4,0.0,None,Clear,76,10,False
2022-06-01,28.3,31.6,25.0,0.0,None,Partly Cloudy,71,12,False
2022-06-02,29.7,32.6,26.8,0.0,None,Cloudy,70,10,False
2022-06-03,29.0,31.9,26.1,0.0,None,Clear,67,13,False
2022-06-04,30.1,33.2,27.0,0.0,None,Clear,74,6,False
2022-06-05,27.4,29.9,24.9,0.0,None,Partly Cloudy,73,8,False
2022-06-06,28.2,31.0,25.3,0.0,None,Clear,75,8,False
2022-06-07,28.1,30.8,25.4,0.0,None,Clear,71,6,False
2022-06-08,28.0,30.3,25.7,0.0,None,Partly Cloudy,71,9,False
2022-06-09,28.9,31.8,26.0,0.0,None,Partly Cloudy,79,10,False
2022-06-10,27.9,31.3,24.5,0.0,None,Clear,75,6,False
2022-06-11,27.9,31.5,24.3,0.0,None,Clear,69,9,False
2022-06-12,29.3,32.1,26.6,8.0,Moderate,Moderate Rain,65,13,False
2022-06-13,29.5,32.6,26.4,0.0,None,Clear,67,7,False
2022-06-14,29.6,33.1,26.0,0.0,None,Clear,68,7,False
2022-06-15,29.5,32.0,27.0,0.0,None,Clear,72,7,False
2022-06-16,28.5,31.9,25.1,0.0,None,Clear,67,12,False
2022-06-17,29.7,32.8,26.5,0.0,None,Clear,72,10,False
2022-06-18,28.6,32.0,25.3,10.3,Light,Light Rain,72,6,False
2022-06-19,28.6,31.2,25.9,0.0,None,Partly Cloudy,72,9,False
2022-06-20,28.7,31.6,25.7,0.0,None,Clear,78,8,False
2022-06-21,28.0,30.6,25.4,0.0,None,Clear,71,12,False
2022-06-22,30.2,32.9,27.4,0.0,None,Clear,72,6,False
2022-06-23,29.7,33.3,26.2,0.0,None,Cloudy,70,7,False
2022-06-24,29.7,32.8,26.5,1.3,Light,Light Rain,73,13,False
2022-06-25,27.3,30.0,24.7,0.0,None,Partly Cloudy,66,9,False
2022-06-26,28.8,31.7,25.9,0.0,None,Partly Cloudy,76,11,False
2022-06-27,27.9,30.7,25.0,0.0,None,Cloudy,67,13,False
2022-06-28,28.2,31.3,25.1,0.0,None,Cloudy,75,9,False
2022-06-29,29.3,32.2,26.4,0.0,None,Cloudy,73,9,False
2022-06-30,28.6,31.8,25.5,0.0,None,Clear,69,11,False
2022-07-01,28.7,31.8,25.7,11.2,Moderate,Moderate Rain,72,7,False
2022-07-02,28.4,31.5,25.2,0.0,None,Clear,64,8,False
2022-07-03,28.0,31.7,24.4,0.0,None,Cloudy,70,9,False
2022-07-04,29.4,32.4,26.3,0.0,None,Partly Cloudy,75,7,False
2022-07-05,30.0,33.2,26.8,0.0,None,Partly Cloudy,68,10,False
2022-07-06,28.3,31.2,25.3,14.4,Moderate,Moderate Rain,70,14,False
2022-07-07,29.2,31.8,26.7,0.0,None,Cloudy,65,7,False
2022-07-08,28.7,31.9,25.5,0.0,None,Clear,68,11,False
2022-07-09,28.1,31.3,24.8,0.0,None,Partly Cloudy,77,12,False
2022-07-10,28.7,31.3,26.1,40.9,Heavy,Heavy Rain,87,15,False
2022-07-11,28.7,31.4,26.0,0.0,None,Partly Cloudy,68,9,False
2022-07-12,28.3,31.8,24.9,5.9,Light,Light Rain,72,15,False
2022-07-13,27.4,30.0,24.8,0.0,None,Clear,72,13,False
2022-07-14,29.4,32.4,26.4,0.0,None,Partly Cloudy,69,11,False
2022-07-15,29.2,32.7,25.6,5.0,Light,Light Rain,69,9,False
2022-07-16,28.3,30.7,25.9,0.0,None,Partly Cloudy,78,11,False
2022-07-17,29.4,32.3,26.4,0.0,None,Partly Cloudy,72,13,False
2022-07-18,29.0,31.9,26.0,0.0,None,Partly Cloudy,69,12,False
2022-07-19,27.5,30.2,24.8,2.9,Light,Light Rain,70,9,False
2022-07-20,29.3,32.9,25.7,0.0,None,Cloudy,71,6,False
2022-07-21,28.2,31.0,25.4,2.1,Light,Light Rain,75,12,False
2022-07-22,28.0,31.3,24.7,0.0,None,Partly Cloudy,74,10,False
2022-07-23,28.3,31.0,25.7,7.7,Light,Light Rain,74,10,False
2022-07-24,29.8,32.0,27.5,0.0,None,Clear,73,11,False
2022-07-25,28.1,31.3,24.9,0.0,None,Clear,67,10,False
2022-07-26,28.3,31.5,25.1,3.7,Light,Light Rain,67,10,False
2022-07-27,28.0,30.4,25.5,0.0,None,Clear,71,6,False
2022-07-28,28.2,30.9,25.5,0.0,None,Clear,69,8,False
2022-07-29,28.4,31.3,25.6,0.0,None,Clear,70,10,False
2022-07-30,27.5,30.8,24.3,0.0,None,Partly Cloudy,64,9,False
2022-07-31,28.4,30.7,26.1,0.0,None,Clear,71,8,False
2022-08-01,28.6,31.1,26.0,0.0,None,Partly Cloudy,71,8,False
2022-08-02,30.1,33.0,27.3,0.0,None,Partly Cloudy,71,11,False
2022-08-03,29.5,32.6,26.3,0.0,None,Partly Cloudy,77,11,False
2022-08-04,28.5,31.5,25.6,0.0,None,Cloudy,73,5,False
2022-08-05,29.3,32.8,25.9,0.0,None,Cloudy,71,10,False
2022-08-06,28.7,31.7,25.7,8.6,Moderate,Moderate Rain,76,13,False
2022-08-07,28.0,31.0,25.1,0.0,None,Partly Cloudy,64,9,False
2022-08-08,29.0,32.5,25.4,0.0,None,Partly Cloudy,67,8,False
2022-08-09,29.5,32.3,26.8,9.1,Light,Light Rain,68,8,False
2022-08-10,29.1,31.5,26.7,0.0,None,Cloudy,74,6,False
2022-08-11,30.4,33.0,27.7,0.0,None,Partly Cloudy,68,6,False
2022-08-12,29.0,32.1,25.9,14.3,Moderate,Moderate Rain,72,7,False
2022-08-13,28.7,31.2,26.1,0.0,None,Clear,70,11,False
2022-08-14,29.4,32.3,26.4,0.0,None,Partly Cloudy,74,7,False
2022-08-15,29.9,32.4,27.3,0.0,None,Cloudy,65,11,False
2022-08-16,29.2,31.7,26.8,0.0,None,Partly Cloudy,68,11,False
2022-08-17,27.5,29.9,25.2,7.8,Light,Light Rain,73,10,False
2022-08-18,28.9,31.8,26.1,0.0,None,Partly Cloudy,68,7,False
2022-08-19,29.4,32.5,26.3,0.0,None,Clear,75,7,False
2022-08-20,27.7,30.1,25.2,0.0,None,Clear,69,12,False
2022-08-21,28.1,30.7,25.6,0.0,None,Partly Cloudy,67,10,False
2022-08-22,28.6,31.3,25.9,12.0,Light,Light Rain,75,8,False
2022-08-23,28.8,31.4,26.2,0.0,None,Partly Cloudy,70,10,False
2022-08-24,29.2,31.4,27.0,8.7,Light,Light Rain,78,12,False
2022-08-25,28.5,31.5,25.5,6.0,Light,Light Rain,72,8,False
2022-08-26,28.3,31.2,25.5,0.0,None,Partly Cloudy,72,16,False
2022-08-27,28.2,30.7,25.6,0.0,None,Partly Cloudy,70,11,False
2022-08-28,29.1,32.4,25.8,0.0,None,Partly Cloudy,70,6,False
2022-08-29,28.6,31.6,25.5,0.0,None,Cloudy,68,5,False
2022-08-30,28.6,31.5,25.7,20.5,Moderate,Moderate Rain,76,13,False
2022-08-31,29.5,32.3,26.8,0.0,None,Clear,74,10,False
2022-09-01,29.6,32.3,26.9,0.0,None,Cloudy,69,10,False
2022-09-02,29.8,32.5,27.1,0.0,None,Cloudy,69,8,False
2022-09-03,28.4,30.9,25.9,0.0,None,Cloudy,68,11,False
2022-09-04,30.2,33.0,27.5,8.0,Moderate,Moderate Rain,69,10,False
2022-09-05,28.5,31.3,25.6,0.0,None,Cloudy,68,7,False
2022-09-06,29.6,32.9,26.3,0.0,None,Partly Cloudy,69,12,False
2022-09-07,30.1,33.1,27.1,0.0,None,Partly Cloudy,77,6,False
2022-09-08,29.7,32.2,27.2,0.0,None,Partly Cloudy,74,7,False
2022-09-09,29.6,32.8,26.3,0.0,None,Clear,72,9,False
2022-09-10,28.6,32.3,24.9,0.0,None,Partly Cloudy,68,15,False
2022-09-11,28.3,31.2,25.4,0.0,None,Partly Cloudy,73,8,False
2022-09-12,29.6,32.1,27.1,1.7,Light,Light Rain,73,10,False
2022-09-13,29.8,33.0,26.6,0.0,None,Partly Cloudy,68,11,False
2022-09-14,29.6,32.0,27.2,0.0,None,Partly Cloudy,70,11,False
2022-09-15,29.2,31.7,26.6,0.0,None,Cloudy,68,11,False
2022-09-16,30.0,32.9,27.2,0.0,None,Partly Cloudy,71,6,False
2022-09-17,28.1,31.1,25.0,0.0,None,Cloudy,65,13,False
2022-09-18,29.7,33.0,26.3,0.0,None,Cloudy,69,6,False
2022-09-19,27.8,30.7,24.8,0.0,None,Partly Cloudy,69,10,False
2022-09-20,28.9,31.7,26.1,0.0,None,Cloudy,75,8,False
2022-09-21,27.6,30.1,25.2,0.0,None,Cloudy,67,9,False
2022-09-22,28.6,31.0,26.2,1.8,Light,Light Rain,68,10,False
2022-09-23,29.1,32.7,25.5,0.0,None,Cloudy,73,8,False
2022-09-24,28.6,31.3,25.9,0.0,None,Clear,72,11,False
2022-09-25,29.2,32.3,26.1,0.0,None,Partly Cloudy,71,10,False
2022-09-26,28.9,31.1,26.8,0.0,None,Partly Cloudy,64,10,False
2022-09-27,30.6,33.3,27.9,0.0,None,Cloudy,69,8,False
2022-09-28,29.5,32.9,26.1,0.0,None,Clear,71,12,False
2022-09-29,27.8,30.4,25.3,0.0,None,Cloudy,73,11,False
2022-09-30,28.5,31.8,25.3,34.0,Heavy,Heavy Rain,86,9,False
2022-10-01,29.5,32.3,26.7,0.0,None,Clear,74,11,False
2022-10-02,27.5,30.2,24.7,0.0,None,Cloudy,70,14,False
2022-10-03,28.3,31.5,25.1,0.0,None,Cloudy,74,10,False
2022-10-04,29.0,32.1,25.9,8.6,Moderate,Moderate Rain,70,16,False
2022-10-05,28.4,31.4,25.5,4.1,Light,Light Rain,73,8,False
2022-10-06,28.8,31.3,26.3,0.0,None,Cloudy,72,12,False
2022-10-07,28.0,30.5,25.4,0.0,None,Partly Cloudy,75,10,False
2022-10-08,28.5,31.0,25.9,0.0,None,Partly Cloudy,70,7,False
2022-10-09,27.8,30.6,25.0,0.0,None,Cloudy,71,6,False
2022-10-10,28.8,32.3,25.4,0.0,None,Clear,73,8,False
2022-10-11,28.1,30.9,25.3,0.0,None,Cloudy,70,10,False
2022-10-12,27.5,31.0,24.1,9.0,Moderate,Moderate Rain,69,11,False
2022-10-13,27.2,30.8,23.7,0.0,None,Partly Cloudy,74,9,False
2022-10-14,29.9,33.0,26.8,35.0,Moderate,Moderate Rain,79,10,False
2022-10-15,27.5,30.3,24.8,0.0,None,Partly Cloudy,76,13,False
2022-10-16,28.1,30.9,25.2,0.0,None,Clear,72,8,False
2022-10-17,28.1,31.4,24.8,0.0,None,Cloudy,76,5,False
2022-10-18,28.1,30.7,25.5,0.0,None,Cloudy,71,14,False
2022-10-19,27.2,30.6,23.8,17.7,Moderate,Moderate Rain,77,10,False
2022-10-20,28.4,31.6,25.1,2.3,Light,Light Rain,67,9,False
2022-10-21,28.5,31.6,25.4,14.1,Moderate,Moderate Rain,75,11,False
2022-10-22,27.9,30.6,25.2,0.0,None,Cloudy,70,5,False
2022-10-23,28.4,30.7,26.0,0.0,None,Clear,75,6,False
2022-10-24,28.4,31.8,25.1,0.0,None,Clear,71,13,False
2022-10-25,29.8,32.4,27.2,8.0,Moderate,Moderate Rain,71,13,False
2022-10-26,27.7,30.9,24.5,25.7,Moderate,Thunderstorm,83,14,True
2022-10-27,28.3,31.5,25.0,0.0,None,Clear,68,12,False
2022-10-28,28.4,31.9,24.8,0.0,None,Partly Cloudy,71,7,False
2022-10-29,29.3,31.6,26.9,0.0,None,Partly Cloudy,72,8,False
2022-10-30,29.4,32.3,26.6,0.0,None,Cloudy,69,8,False
2022-10-31,28.6,31.6,25.6,0.0,None,Partly Cloudy,65,11,False
2022-11-01,27.8,30.9,24.6,8.0,Moderate,Moderate Rain,72,12,False
2022-11-02,27.3,30.2,24.4,0.0,None,Partly Cloudy,70,7,False
2022-11-03,28.3,31.5,25.1,0.0,None,Partly Cloudy,68,8,False
2022-11-04,28.2,30.6,25.9,0.0,None,Partly Cloudy,71,7,False
2022-11-05,28.1,31.1,25.1,12.9,Moderate,Moderate Rain,77,12,False
2022-11-06,27.9,31.0,24.9,0.0,None,Cloudy,71,9,False
2022-11-07,27.9,30.7,25.1,3.4,Light,Light Rain,69,7,False
2022-11-08,27.9,30.9,24.9,0.0,None,Cloudy,66,12,False
2022-11-09,27.4,30.2,24.5,0.0,None,Cloudy,72,7,False
2022-11-10,28.3,31.1,25.4,2.2,Light,Light Rain,73,12,False
2022-11-11,27.1,29.9,24.4,0.0,None,Partly Cloudy,72,7,False
2022-11-12,28.9,32.0,25.8,0.0,None,Cloudy,67,5,False
2022-11-13,28.0,30.6,25.4,2.4,Light,Light Rain,73,9,False
2022-11-14,28.4,31.8,25.0,0.0,None,Partly Cloudy,69,13,False
2022-11-15,27.8,30.9,24.6,2.1,Light,Light Rain,72,13,False
2022-11-16,28.5,31.9,25.1,0.0,None,Cloudy,70,8,False
2022-11-17,28.7,31.2,26.2,0.0,None,Partly Cloudy,66,7,False
2022-11-18,27.4,30.3,24.5,0.0,None,Cloudy,74,10,False
2022-11-19,27.9,30.6,25.2,0.0,None,Cloudy,70,8,False
2022-11-20,27.9,30.0,25.8,0.0,None,Partly Cloudy,73,6,False
2022-11-21,29.9,32.9,27.0,0.0,None,Clear,73,12,False
2022-11-22,27.8,31.0,24.6,0.0,None,Cloudy,70,6,False
2022-11-23,28.2,31.6,24.8,0.0,None,Partly Cloudy,72,13,False
2022-11-24,27.3,30.0,24.7,0.0,None,Cloudy,69,9,False
2022-11-25,28.6,30.9,26.4,0.9,Light,Light Rain,69,9,False
2022-11-26,28.1,30.7,25.5,0.0,None,Clear,70,11,False
2022-11-27,29.0,31.6,26.3,2.8,Light,Light Rain,76,10,False
2022-11-28,28.1,30.6,25.7,18.6,Moderate,Moderate Rain,74,10,False
2022-11-29,29.0,32.2,25.9,0.0,None,Cloudy,74,8,False
2022-11-30,28.6,31.8,25.3,0.0,None,Partly Cloudy,70,11,False
2022-12-01,28.6,31.2,26.0,0.0,None,Partly Cloudy,70,5,False
2022-12-02,27.9,30.6,25.3,5.6,Light,Light Rain,66,8,False
2022-12-03,28.2,31.6,24.8,0.0,None,Partly Cloudy,72,5,False
2022-12-04,27.5,30.7,24.4,0.0,None,Cloudy,71,12,False
2022-12-05,28.5,32.2,24.8,0.0,None,Clear,72,8,False
2022-12-06,26.4,29.1,23.6,0.0,None,Clear,69,12,False
2022-12-07,28.8,31.6,26.0,0.0,None,Partly Cloudy,73,11,False
2022-12-08,28.4,31.0,25.7,0.0,None,Cloudy,69,9,False
2022-12-09,29.2,32.0,26.3,0.0,None,Cloudy,68,14,False
2022-12-10,27.3,30.5,24.1,2.6,Light,Light Rain,73,10,False
2022-12-11,28.6,31.7,25.5,0.0,None,Cloudy,69,7,False
2022-12-12,28.3,31.0,25.6,0.0,None,Partly Cloudy,75,7,False
2022-12-13,26.9,29.7,24.0,0.0,None,Partly Cloudy,71,12,False
2022-12-14,28.4,31.4,25.4,1.3,Light,Light Rain,70,9,False
2022-12-15,28.0,31.0,25.0,0.0,None,Partly Cloudy,72,7,False
2022-12-16,29.2,32.1,26.3,3.8,Light,Light Rain,73,5,False
2022-12-17,29.0,32.1,25.9,0.0,None,Clear,69,10,False
2022-12-18,28.7,31.6,25.7,0.0,None,Cloudy,69,5,False
2022-12-19,28.9,31.6,26.1,0.0,None,Cloudy,74,9,False
2022-12-20,28.5,31.5,25.6,0.0,None,Clear,69,10,False
2022-12-21,27.9,30.1,25.7,0.0,None,Cloudy,70,10,False
2022-12-22,26.6,29.4,23.8,0.0,None,Partly Cloudy,70,10,False
2022-12-23,28.7,31.9,25.5,0.0,None,Partly Cloudy,67,11,False
2022-12-24,28.1,31.0,25.2,0.0,None,Partly Cloudy,65,11,False
2022-12-25,28.8,32.1,25.4,0.0,None,Cloudy,72,9,False
2022-12-26,27.7,30.0,25.4,43.4,Heavy,Heavy Rain,85,12,False
2022-12-27,28.3,31.4,25.2,0.0,None,Clear,65,15,False
2022-12-28,28.5,30.9,26.0,0.0,None,Cloudy,69,7,False
2022-12-29,28.1,31.4,24.7,0.0,None,Partly Cloudy,71,10,False
2022-12-30,27.5,30.9,24.1,12.0,Moderate,Moderate Rain,74,13,False
