sku,barcode,productname,category,brand,unitsize,baseunitpricelkr,typicalshelflifedays,supplier,casesize,maxshelfcapacityunits,widthcm,heightcm,depthcm,unitcostlkr,minfacings,maxfacings
LK-RIC-7E8G8,4794019655691,Dunar Basmathi Rice Nawazish 1kg,Rice & Grains,Dunar,1kg,347.32,374,Dunar Foods (India),7,35,5.0,33.0,12.2,317.12,3,8
LK-RIC-0HP87,4799514846568,Tilda Pure Original Basmathi 5kg,Rice & Grains,Tilda,5kg,1372.91,376,Tilda Limited (UK),18,54,17.3,16.1,12.3,1217.41,1,5
LK-RIC-KPUXQ,4797387214897,Turkey Basmathi Rice 2kg,Rice & Grains,Turkey,2kg,467.26,420,Turkey Foods Lanka,15,45,21.1,12.0,3.8,406.93,2,7
LK-RIC-4COWG,4796763201636,Prima Chakki Fresh Atta 1kg,Rice & Grains,Prima,1kg,209.9,710,Prima Ceylon Limited,7,21,23.3,11.3,5.3,181.04,2,8
LK-RIC-TUL1P,4798687277438,Prima Self Raising Flour 1kg,Rice & Grains,Prima,1kg,322.78,713,Prima Ceylon Limited,13,52,13.8,27.3,7.0,291.59,2,5
LK-RIC-6CFNF,4793166587602,Foodlink Chakki Fresh Atta Flour 1kg,Rice & Grains,Foodlink,1kg,215.16,200,Foodlink Lanka,18,90,5.1,17.5,15.8,192.52,2,7
LK-RIC-0TVHH,4796706562725,Harischandra Kurakkan Flour 400g,Rice & Grains,Harischandra,400g,198.07,583,Harischandra Mills PLC,24,48,6.7,19.6,17.7,175.88,1,3
LK-RIC-JLQM5,4794641708055,Star Gold Chakki Atta Flour 1kg,Rice & Grains,Star Gold,1kg,218.12,221,Star Gold Trading,13,39,21.8,24.8,7.1,199.77,2,8
LK-RIC-E8QJN,4799912419043,Star Gold White Rice String Hopper Flour 1kg,Rice & Grains,Star Gold,1kg,277.89,564,Star Gold Trading,12,24,16.8,30.4,7.1,240.52,3,5
LK-RIC-4VE92,4795865185066,Star Gold Red Rice String Hopper Flour 1kg,Rice & Grains,Star Gold,1kg,319.8,550,Star Gold Trading,20,60,13.7,27.8,19.4,292.19,2,7
LK-RIC-3TRP0,4794531473797,Araliya Supiri Samba Rice 1kg,Rice & Grains,Araliya,1kg,283.76,209,Araliya Rice Mills,16,48,14.8,17.6,7.4,254.61,2,7
LK-RIC-ZJA8D,4796783777012,Araliya White Raw Rice 5kg,Rice & Grains,Araliya,5kg,1070.68,429,Araliya Rice Mills,24,96,14.5,22.3,10.2,959.05,3,7
LK-RIC-LZJJE,4793518233744,CIC Basmathi Rice White 1kg,Rice & Grains,CIC,1kg,303.18,717,CIC Agri Businesses,15,30,21.7,16.0,9.1,261.16,2,3
LK-RIC-ZEBBK,4792710947770,CIC Red Suduru Rice 5kg,Rice & Grains,CIC,5kg,1105.53,438,CIC Agri Businesses,9,18,13.0,10.0,13.7,953.04,1,4
LK-RIC-FUK9E,4796999386770,CIC Sudu Suduru Rice 1kg,Rice & Grains,CIC,1kg,230.55,619,CIC Agri Businesses,24,48,17.2,28.0,19.1,203.96,1,8
LK-RIC-HXFGC,4790679740340,CIC Suwandel Rice 1kg,Rice & Grains,CIC,1kg,300.18,644,CIC Agri Businesses,13,52,20.8,24.9,14.2,263.5,1,6
LK-RIC-EIFJF,4790249947179,CIC Kaluheenati Rice 1kg,Rice & Grains,CIC,1kg,297.08,458,CIC Agri Businesses,23,115,13.8,24.1,18.1,260.84,3,5
LK-RIC-VAIY4,4799049027876,Catch Rice Suduru Samba 1kg,Rice & Grains,Catch,1kg,335.73,626,Ceylon Catch PLC,21,42,14.4,19.0,8.5,305.22,1,4
LK-RIC-LYK83,4798071545167,Akshata Suwandel Rice 800g,Rice & Grains,Akshata,800g,317.03,181,Akshata Agri Products,23,115,13.3,13.1,9.2,275.98,2,8
LK-RIC-PBJEK,4797109324804,Akshata Kuruluthuda Rice 800g,Rice & Grains,Akshata,800g,263.88,296,Akshata Agri Products,9,27,15.0,27.3,11.7,241.29,2,6
LK-RIC-49ITN,4799821465841,Akshata Pachchaperumal Rice 800g,Rice & Grains,Akshata,800g,309.49,485,Akshata Agri Products,24,120,22.3,20.1,11.2,279.48,2,7
LK-RIC-1N759,4793963605769,Akshata Kaluheenati Rice 800g,Rice & Grains,Akshata,800g,235.63,335,Akshata Agri Products,7,21,15.0,23.9,17.8,207.4,2,3
LK-RIC-SQ0OX,4792174596156,Ariya Pure Basmathi Rice 1kg,Rice & Grains,Ariya,1kg,324.9,569,Ariya Trading,21,42,17.3,14.3,14.6,282.16,2,4
LK-RIC-0PDW5,4797240050457,India Gate Basmati Rice Excel 5kg,Rice & Grains,India Gate,5kg,1131.13,723,KRBL Limited (India),24,72,8.4,10.1,17.8,1030.76,3,8
LK-RIC-I6FQJ,4794074821758,India Gate Basmati Rice Exotic 1kg,Rice & Grains,India Gate,1kg,347.9,614,KRBL Limited (India),14,70,21.9,13.4,9.5,313.82,2,3
LK-RIC-IUU9K,4796409097432,Dunar Basmathi Rice Daily 5kg,Rice & Grains,Dunar,5kg,1305.3,374,Dunar Foods (India),14,42,17.6,32.4,14.0,1173.28,2,6
LK-RIC-BNE6L,4796232858842,Dunar Basmathi Rice Nawazish 1kg,Rice & Grains,Dunar,1kg,321.18,673,Dunar Foods (India),16,32,14.4,10.0,15.8,290.53,1,8
LK-RIC-0982N,4796048175492,Tilda Pure Original Basmathi 5kg,Rice & Grains,Tilda,5kg,1135.77,560,Tilda Limited (UK),13,65,5.5,31.9,12.5,1001.39,3,4
LK-RIC-XWQZX,4791200471139,Turkey Basmathi Rice 2kg,Rice & Grains,Turkey,2kg,643.92,644,Turkey Foods Lanka,23,115,16.7,27.6,18.1,587.16,3,3
LK-DRY-4W7KY,4793773515852,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,314.51,305,Fonterra Brands Lanka,17,51,17.8,24.1,3.4,277.85,2,4
LK-DRY-92H3T,4799335290427,Catch Channa Dhal 500g,Dry Rations,Catch,500g,416.76,997,Ceylon Catch PLC,19,38,7.6,17.7,16.4,361.58,3,5
LK-DRY-AJEPE,4791775891783,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,217.6,924,Ceylon Catch PLC,45,180,14.2,34.0,4.0,187.81,2,6
LK-DRY-PDZP6,4795921249985,Catch Toor Dhal 500g,Dry Rations,Catch,500g,345.16,791,Ceylon Catch PLC,30,150,15.1,19.6,16.5,302.76,1,8
LK-DRY-X1ZHQ,4793657661569,Catch Chick Peas 500g,Dry Rations,Catch,500g,241.26,336,Ceylon Catch PLC,42,84,6.8,10.3,10.3,213.44,3,8
LK-DRY-NEC8U,4791656049456,Catch Kidney Beans 250g,Dry Rations,Catch,250g,94.5,338,Ceylon Catch PLC,42,126,21.9,17.5,12.5,82.17,1,5
LK-DRY-U3493,4799809402448,MD Curry Powder 100g,Dry Rations,MD,100g,170.58,365,MD Holdings (Private) Limited,48,240,6.4,28.0,19.5,149.93,1,8
LK-DRY-TNQFL,4795991022907,MD Chilli Powder 200g,Dry Rations,MD,200g,234.36,857,MD Holdings (Private) Limited,43,215,13.3,13.8,11.7,207.1,2,6
LK-DRY-DYVSL,4793690034320,MD Turmeric Powder 50g,Dry Rations,MD,50g,84.67,302,MD Holdings (Private) Limited,43,215,8.5,18.3,15.0,74.73,3,7
LK-DRY-43C5B,4790715969667,Catch Curry Powder 200g,Dry Rations,Catch,200g,180.53,512,Ceylon Catch PLC,41,164,6.8,30.8,7.1,158.09,3,6
LK-DRY-SOLML,4792181883553,Catch Chilli Powder 100g,Dry Rations,Catch,100g,147.29,1014,Ceylon Catch PLC,27,54,7.9,13.3,13.2,125.32,3,3
LK-DRY-G1R11,4797995527174,Catch Pepper Powder 50g,Dry Rations,Catch,50g,63.74,461,Ceylon Catch PLC,15,60,15.1,16.4,10.7,56.21,1,5
LK-DRY-3C54W,4798679807933,MA's Curry Powder 100g,Dry Rations,MA's,100g,98.58,334,MA's Kitchen (Private) Limited,40,80,21.2,30.6,19.7,85.91,1,7
LK-DRY-XBZ9S,4799255466599,MA's Chilli Powder 250g,Dry Rations,MA's,250g,87.33,522,MA's Kitchen (Private) Limited,33,66,16.2,18.4,7.3,75.29,3,7
LK-DRY-5MUFM,4796291486529,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,140.41,936,MA's Kitchen (Private) Limited,45,90,17.9,19.4,9.2,119.39,2,5
LK-DRY-GH8RI,4792214188808,Wijaya Curry Powder 250g,Dry Rations,Wijaya,250g,172.67,812,Wijaya Products (Private) Limited,36,108,8.2,30.4,16.1,146.32,1,8
LK-DRY-POYIP,4794738347358,Wijaya Chilli Powder 100g,Dry Rations,Wijaya,100g,141.4,631,Wijaya Products (Private) Limited,30,150,15.1,19.3,5.8,122.42,1,7
LK-DRY-EJX5T,4791814124780,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,160.63,407,McCurrie Products (Private) Limited,34,68,13.3,18.7,9.4,140.35,2,3
LK-DRY-NB74X,4792204727796,Mccurrie Unroasted Curry Powder 100g,Dry Rations,Mccurrie,100g,60.63,442,McCurrie Products (Private) Limited,21,105,7.2,15.8,8.1,54.28,1,4
LK-DRY-P2QD6,4799808932465,Marina Coconut Oil 2.9L,Dry Rations,Marina,2.9L,1501.56,764,Ceylon Oils & Fats Corporation,23,46,15.5,17.7,19.2,1319.62,3,7
LK-DRY-2SA5B,4796540515314,Marina Sunflower Oil 500ml,Dry Rations,Marina,500ml,408.6,520,Ceylon Oils & Fats Corporation,14,56,15.9,30.0,6.0,349.72,3,6
LK-DRY-9RGEZ,4797043030540,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,306.15,736,Adani Wilmar Limited,28,56,20.1,13.2,9.1,257.37,1,8
LK-DRY-LEN60,4796527758413,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,963.54,796,Adani Wilmar Limited,46,184,11.4,10.2,14.2,862.62,2,6
LK-DRY-VPYMB,4795964016582,Fortune Corn Oil 1L,Dry Rations,Fortune,1L,1000.55,211,Adani Wilmar Limited,40,80,7.5,14.4,14.0,859.71,2,6
LK-DRY-8BFQN,4797192856541,Renuka Coconut Milk Powder 300g,Dry Rations,Renuka,300g,322.43,933,Renuka Agri Foods PLC,43,215,23.3,11.2,16.2,287.99,3,6
LK-DRY-HWY9H,4792172715511,Maggi Coconut Milk Powder 300g,Dry Rations,Maggi,300g,373.5,487,Nestle Lanka PLC,23,92,15.2,11.3,6.4,329.64,1,4
LK-DRY-2ATN2,4798291146786,Marina Coconut Milk Powder 150g,Dry Rations,Marina,150g,229.3,768,Ceylon Oils & Fats Corporation,20,80,17.8,20.1,14.6,200.74,2,4
LK-DRY-52XG8,4796801824223,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,463.92,534,Fonterra Brands Lanka,30,60,10.0,25.1,12.4,397.78,1,8
LK-DRY-KTSG7,4792299590015,Catch Channa Dhal 500g,Dry Rations,Catch,500g,171.82,770,Ceylon Catch PLC,25,125,17.4,8.8,18.1,148.03,3,5
LK-DRY-XKI3O,4797102767738,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,248.45,1062,Ceylon Catch PLC,32,128,24.5,11.5,9.3,221.46,3,3
LK-DRY-LQJID,4794696325955,Catch Toor Dhal 500g,Dry Rations,Catch,500g,209.36,707,Ceylon Catch PLC,43,172,14.9,10.4,9.7,186.42,2,4
LK-DRY-HMBR5,4797480162453,Catch Chick Peas 500g,Dry Rations,Catch,500g,358.6,590,Ceylon Catch PLC,48,144,12.3,15.8,9.6,314.87,2,7
LK-DRY-K9YE9,4796558523981,Catch Kidney Beans 250g,Dry Rations,Catch,250g,136.19,219,Ceylon Catch PLC,33,165,15.4,12.0,18.2,122.24,1,5
LK-DRY-7LOW4,4799588879479,MD Curry Powder 200g,Dry Rations,MD,200g,254.2,869,MD Holdings (Private) Limited,38,152,20.9,27.6,14.7,223.16,1,7
LK-DRY-R821U,4790972896232,MD Chilli Powder 100g,Dry Rations,MD,100g,63.79,292,MD Holdings (Private) Limited,13,65,11.3,12.1,14.7,53.78,2,7
LK-DRY-1750C,4792838578658,MD Turmeric Powder 50g,Dry Rations,MD,50g,97.18,725,MD Holdings (Private) Limited,46,184,18.5,31.4,14.6,84.78,3,5
LK-DRY-VGIUI,4794437575847,Catch Curry Powder 100g,Dry Rations,Catch,100g,94.53,736,Ceylon Catch PLC,37,148,24.1,29.7,7.9,81.82,2,8
LK-DRY-C7X0H,4798484219938,Catch Chilli Powder 200g,Dry Rations,Catch,200g,173.94,723,Ceylon Catch PLC,26,52,7.0,16.9,11.0,149.56,3,4
LK-DRY-AT7O7,4797734540198,Catch Pepper Powder 50g,Dry Rations,Catch,50g,50.09,1050,Ceylon Catch PLC,23,115,22.6,12.7,18.6,42.86,2,6
LK-DRY-G05KB,4794991547885,MA's Curry Powder 250g,Dry Rations,MA's,250g,149.15,1051,MA's Kitchen (Private) Limited,41,164,8.9,11.0,5.8,125.84,2,8
LK-DRY-JG02U,4793296685162,MA's Chilli Powder 100g,Dry Rations,MA's,100g,140.31,323,MA's Kitchen (Private) Limited,32,96,5.1,18.4,10.6,124.72,2,5
LK-DRY-K0AXY,4790174268417,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,136.65,556,MA's Kitchen (Private) Limited,26,78,24.1,20.9,10.7,115.27,3,5
LK-DRY-OTQTX,4793391878513,Wijaya Curry Powder 100g,Dry Rations,Wijaya,100g,170.07,1028,Wijaya Products (Private) Limited,44,132,16.5,12.0,8.6,151.92,3,6
LK-DRY-EHUDS,4790728679089,Wijaya Chilli Powder 250g,Dry Rations,Wijaya,250g,144.73,920,Wijaya Products (Private) Limited,37,148,21.3,28.1,12.8,123.25,1,6
LK-DRY-MC97C,4797046226568,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,202.8,566,McCurrie Products (Private) Limited,17,51,18.1,17.4,6.0,171.36,3,6
LK-DRY-T0IAA,4794786863374,Mccurrie Unroasted Curry Powder 250g,Dry Rations,Mccurrie,250g,128.46,1076,McCurrie Products (Private) Limited,19,38,21.2,19.3,16.0,113.49,1,4
LK-DRY-HDBVZ,4790306738306,Marina Coconut Oil 1L,Dry Rations,Marina,1L,670.07,419,Ceylon Oils & Fats Corporation,48,192,16.5,28.9,16.9,563.12,1,5
LK-DRY-59SOJ,4798926870567,Marina Sunflower Oil 1L,Dry Rations,Marina,1L,992.9,606,Ceylon Oils & Fats Corporation,21,84,12.5,28.4,11.0,874.62,1,5
LK-DRY-4FQCO,4796882634353,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,358.68,1047,Adani Wilmar Limited,17,51,6.0,18.2,13.3,302.96,1,3
LK-DRY-G10UR,4795403317393,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,951.88,425,Adani Wilmar Limited,32,128,12.6,22.4,9.1,834.04,2,5
LK-BEV-SRD9Q,4795355609324,Elephant House Cream Soda 500ml,Beverages,Elephant House,500ml,152.11,479,Ceylon Cold Stores PLC,23,115,10.9,13.3,6.9,114.95,3,4
LK-BEV-RXYJ3,4797725228722,Elephant House Ginger Beer 1L,Beverages,Elephant House,1L,433.38,508,Ceylon Cold Stores PLC,20,40,21.8,10.0,16.9,327.91,1,3
LK-BEV-O4IZA,4798750997706,Elephant House Necto 1.5L,Beverages,Elephant House,1.5L,301.45,186,Ceylon Cold Stores PLC,20,80,15.7,15.7,11.5,227.86,3,8
LK-BEV-P7G7S,4793398454611,Elephant House Orange Crush 2L,Beverages,Elephant House,2L,480.72,469,Ceylon Cold Stores PLC,23,69,11.0,30.4,4.4,368.96,3,3
LK-BEV-DNTCA,4792176591807,Elephant House Lemonade 500ml,Beverages,Elephant House,500ml,179.87,534,Ceylon Cold Stores PLC,19,76,5.9,10.0,18.7,130.93,3,7
LK-BEV-XG4AH,4792614293966,Elephant House EGB 1.5L,Beverages,Elephant House,1.5L,448.95,376,Ceylon Cold Stores PLC,14,28,15.0,34.3,3.9,339.75,2,4
LK-BEV-4M18O,4795047735867,Coca-Cola Original 1050ml,Beverages,Coca-Cola,1050ml,340.46,518,Coca-Cola Beverages Sri Lanka Limited,13,52,21.0,27.3,4.4,253.86,1,6
LK-BEV-ZW0LD,4790475412120,Coca-Cola Zero 2L,Beverages,Coca-Cola,2L,496.36,442,Coca-Cola Beverages Sri Lanka Limited,13,26,6.8,23.0,13.1,374.97,2,6
LK-BEV-AO20U,4793982622440,Sprite Regular 2L,Beverages,Sprite,2L,452.47,265,Coca-Cola Beverages Sri Lanka Limited,16,80,11.0,29.1,9.1,356.69,1,8
LK-BEV-WVHDK,4796596575690,Sprite Zero 400ml,Beverages,Sprite,400ml,154.97,535,Coca-Cola Beverages Sri Lanka Limited,19,76,8.6,18.8,8.4,120.0,3,8
LK-BEV-W82LK,4796519398283,Fanta Orange 1050ml,Beverages,Fanta,1050ml,283.77,542,Coca-Cola Beverages Sri Lanka Limited,19,76,21.6,9.9,17.4,210.51,2,8
LK-BEV-RWIXZ,4796179796887,Fanta Cream Soda 1.5L,Beverages,Fanta,1.5L,503.17,394,Coca-Cola Beverages Sri Lanka Limited,12,48,19.0,29.9,13.1,367.53,1,3
LK-BEV-1XMXB,4796561014384,Fanta Portello 400ml,Beverages,Fanta,400ml,222.15,532,Coca-Cola Beverages Sri Lanka Limited,15,75,12.5,20.5,14.6,167.8,3,7
LK-BEV-F9RK7,4791125457386,Pepsi Cola 1.5L,Beverages,Pepsi,1.5L,406.24,404,Varun Beverages Lanka (Private) Limited,23,115,11.4,16.1,16.8,309.52,1,3
LK-BEV-4XYF9,4793828258673,Pepsi Can 250ml,Beverages,Pepsi,250ml,442.6,274,Varun Beverages Lanka (Private) Limited,22,110,12.9,27.9,18.0,339.74,2,7
LK-BEV-PAHKZ,4791918255373,7 Up Regular 2L,Beverages,7 Up,2L,410.77,430,Varun Beverages Lanka (Private) Limited,22,88,16.9,24.5,13.0,306.58,2,5
LK-BEV-4W3ZK,4799912513413,Mirinda Orange 1.5L,Beverages,Mirinda,1.5L,340.27,441,Varun Beverages Lanka (Private) Limited,18,54,16.5,19.4,11.3,253.34,3,8
LK-BEV-77GGK,4792579050727,Mountain Dew Bottle 1.5L,Beverages,Mountain Dew,1.5L,342.93,467,Varun Beverages Lanka (Private) Limited,22,110,13.2,21.3,15.1,263.81,2,6
LK-BEV-GU2HB,4793842797882,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,410.57,458,Varun Beverages Lanka (Private) Limited,20,40,20.2,19.9,6.7,324.7,2,3
LK-BEV-0XI5B,4794517133950,Kist Orange Nectar 1L,Beverages,Kist,1L,422.21,399,Kist Products (Private) Limited,21,63,20.7,30.0,16.7,317.16,3,5
LK-BEV-TVG9K,4799481260428,Kist Mixed Fruit Nectar 200ml,Beverages,Kist,200ml,150.14,254,Kist Products (Private) Limited,17,51,20.2,26.3,11.3,118.52,3,8
LK-BEV-JOQW5,4791684577594,Kist Mango Nectar 1L,Beverages,Kist,1L,250.49,227,Kist Products (Private) Limited,19,76,22.0,29.5,9.8,184.88,2,4
LK-BEV-RLKTE,4797500170123,Kist Woodapple Nectar 200ml,Beverages,Kist,200ml,124.13,399,Kist Products (Private) Limited,23,69,22.6,16.2,17.9,99.3,2,3
LK-BEV-XJN6F,4796436110371,MD Cordial Mixed Fruit 750ml,Beverages,MD,750ml,190.91,445,MD Holdings (Private) Limited,19,38,5.2,17.3,5.1,143.66,2,8
LK-BEV-ECN0D,4795542622181,MD Cordial Mango 400ml,Beverages,MD,400ml,201.96,264,MD Holdings (Private) Limited,17,51,17.6,12.1,10.0,151.71,3,6
LK-BEV-4DD1V,4796565234139,MD Cordial Passion Fruit 750ml,Beverages,MD,750ml,257.48,491,MD Holdings (Private) Limited,24,48,22.0,25.8,8.1,193.62,3,7
LK-BEV-S0KB6,4793761379183,Milo Malt Drink 200g,Beverages,Milo,200g,616.62,364,Nestle Lanka PLC,14,70,22.2,23.3,9.2,492.7,3,4
LK-BEV-181AC,4794300684867,Nestomalt Malt Drink 175g,Beverages,Nestomalt,175g,405.89,507,Nestle Lanka PLC,20,60,10.5,16.4,11.7,311.65,1,4
LK-BEV-TOW4Y,4791463031613,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,899.35,338,Unilever Sri Lanka Limited,23,69,7.4,27.1,14.9,675.68,1,6
LK-BEV-8S2ZG,4792410564819,Aquafina Bottled Drinking Water 1.5L,Beverages,Aquafina,1.5L,357.85,501,Varun Beverages Lanka (Private) Limited,19,95,15.2,9.5,17.6,258.37,1,5
LK-BEV-F16YE,4798000307569,Red Bull Energy Drink 250ml,Beverages,Red Bull,250ml,628.46,198,Red Bull Lanka (Private) Limited,24,120,9.5,14.7,18.6,493.77,2,5
LK-BEV-3UEYB,4793806174452,Elephant House Cream Soda 1L,Beverages,Elephant House,1L,267.28,368,Ceylon Cold Stores PLC,16,64,19.8,14.5,9.3,204.06,2,4
LK-BEV-0T2F7,4790385050641,Elephant House Ginger Beer 500ml,Beverages,Elephant House,500ml,163.51,301,Ceylon Cold Stores PLC,19,38,24.5,11.8,7.8,123.88,1,4
LK-BEV-6SZN9,4791918261992,Elephant House Necto 1L,Beverages,Elephant House,1L,262.46,246,Ceylon Cold Stores PLC,16,64,22.0,33.0,9.7,196.06,3,5
LK-BEV-LJCH2,4799121277564,Elephant House Orange Crush 1.5L,Beverages,Elephant House,1.5L,326.56,286,Ceylon Cold Stores PLC,16,80,10.3,11.2,5.7,251.89,3,5
LK-BEV-3ZB4L,4791356804423,Elephant House Lemonade 1.5L,Beverages,Elephant House,1.5L,306.84,411,Ceylon Cold Stores PLC,23,69,6.9,10.8,16.5,235.55,1,3
LK-BEV-C2IHO,4791994101373,Elephant House EGB 500ml,Beverages,Elephant House,500ml,255.21,349,Ceylon Cold Stores PLC,12,60,6.0,33.0,10.4,202.29,3,6
LK-BEV-RNPM6,4794472099933,Coca-Cola Original 400ml,Beverages,Coca-Cola,400ml,211.2,461,Coca-Cola Beverages Sri Lanka Limited,12,24,10.6,11.7,6.4,160.53,3,4
LK-BEV-W2292,4795787598562,Coca-Cola Zero 400ml,Beverages,Coca-Cola,400ml,169.75,485,Coca-Cola Beverages Sri Lanka Limited,12,48,6.2,34.8,12.0,135.45,3,4
LK-BEV-9DXJ3,4790396522397,Sprite Regular 400ml,Beverages,Sprite,400ml,174.98,363,Coca-Cola Beverages Sri Lanka Limited,12,48,24.0,23.2,12.6,129.65,1,6
LK-BEV-TGBCV,4790870593257,Sprite Zero 400ml,Beverages,Sprite,400ml,218.86,345,Coca-Cola Beverages Sri Lanka Limited,12,36,16.7,32.8,16.2,159.0,3,5
LK-BEV-8N7OD,4794522675285,Fanta Orange 1.5L,Beverages,Fanta,1.5L,452.58,362,Coca-Cola Beverages Sri Lanka Limited,22,66,12.6,27.8,8.0,328.43,1,8
LK-BEV-AZU41,4799029593919,Fanta Cream Soda 400ml,Beverages,Fanta,400ml,243.04,219,Coca-Cola Beverages Sri Lanka Limited,17,68,8.4,31.9,4.5,191.7,3,8
LK-BEV-X5QJI,4791541006762,Fanta Portello 1050ml,Beverages,Fanta,1050ml,415.67,432,Coca-Cola Beverages Sri Lanka Limited,17,85,7.0,20.9,17.7,303.12,3,8
LK-BEV-IQ2BA,4794115262182,Pepsi Cola 2L,Beverages,Pepsi,2L,634.3,353,Varun Beverages Lanka (Private) Limited,21,105,19.1,19.6,14.1,457.81,3,6
LK-BEV-FDHGZ,4798444310699,Pepsi Can 250ml,Beverages,Pepsi,250ml,528.41,207,Varun Beverages Lanka (Private) Limited,12,60,6.8,30.2,13.6,401.97,2,4
LK-BEV-DHW9R,4791467741860,7 Up Regular 1.5L,Beverages,7 Up,1.5L,340.67,369,Varun Beverages Lanka (Private) Limited,19,38,10.3,20.6,6.8,248.4,2,7
LK-BEV-C1YDM,4798693806868,Mirinda Orange 2L,Beverages,Mirinda,2L,640.72,423,Varun Beverages Lanka (Private) Limited,15,75,11.0,18.7,17.5,477.36,1,7
LK-BEV-USU9F,4797223320614,Mountain Dew Bottle 500ml,Beverages,Mountain Dew,500ml,278.48,501,Varun Beverages Lanka (Private) Limited,21,84,11.4,27.6,16.7,213.08,1,6
LK-BEV-UT4S7,4790998616227,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,532.98,231,Varun Beverages Lanka (Private) Limited,21,42,20.7,31.4,18.0,401.54,2,5
LK-BEV-NRVBJ,4792996065304,Kist Orange Nectar 200ml,Beverages,Kist,200ml,154.57,370,Kist Products (Private) Limited,17,68,11.2,30.8,17.6,112.27,3,3
