sku,barcode,ProductName,Category,Brand,UnitSize,BaseUnitPriceLKR,TypicalShelfLifeDays,Supplier,CaseSize,MaxShelfCapacityUnits
LK-DRY-X1ZHQ,4793657661569,Catch Chick Peas 500g,Dry Rations,Catch,500g,249.6,336,Ceylon Catch PLC,42,84
LK-DRY-NEC8U,4791656049456,Catch Kidney Beans 250g,Dry Rations,Catch,250g,97.77,338,Ceylon Catch PLC,42,126
LK-DRY-U3493,4799809402448,MD Curry Powder 100g,Dry Rations,MD,100g,176.48,365,MD Holdings (Private) Limited,48,240
LK-DRY-TNQFL,4795991022907,MD Chilli Powder 200g,Dry Rations,MD,200g,242.47,857,MD Holdings (Private) Limited,43,215
LK-DRY-DYVSL,4793690034320,MD Turmeric Powder 50g,Dry Rations,MD,50g,87.6,302,MD Holdings (Private) Limited,43,215
LK-DRY-43C5B,4790715969667,Catch Curry Powder 200g,Dry Rations,Catch,200g,186.77,512,Ceylon Catch PLC,41,164
LK-DRY-SOLML,4792181883553,Catch Chilli Powder 100g,Dry Rations,Catch,100g,152.38,1014,Ceylon Catch PLC,27,54
LK-DRY-G1R11,4797995527174,Catch Pepper Powder 50g,Dry Rations,Catch,50g,65.94,461,Ceylon Catch PLC,15,60
LK-DRY-3C54W,4798679807933,MA's Curry Powder 100g,Dry Rations,MA's,100g,101.99,334,MA's Kitchen (Private) Limited,40,80
LK-DRY-XBZ9S,4799255466599,MA's Chilli Powder 250g,Dry Rations,MA's,250g,90.35,522,MA's Kitchen (Private) Limited,33,66
LK-DRY-5MUFM,4796291486529,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,145.27,936,MA's Kitchen (Private) Limited,45,90
LK-DRY-GH8RI,4792214188808,Wijaya Curry Powder 250g,Dry Rations,Wijaya,250g,178.64,812,Wijaya Products (Private) Limited,36,108
LK-DRY-POYIP,4794738347358,Wijaya Chilli Powder 100g,Dry Rations,Wijaya,100g,146.29,631,Wijaya Products (Private) Limited,30,150
LK-DRY-EJX5T,4791814124780,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,166.19,407,McCurrie Products (Private) Limited,34,68
LK-DRY-NB74X,4792204727796,Mccurrie Unroasted Curry Powder 100g,Dry Rations,Mccurrie,100g,62.73,442,McCurrie Products (Private) Limited,21,105
LK-DRY-P2QD6,4799808932465,Marina Coconut Oil 2.9L,Dry Rations,Marina,2.9L,1553.49,764,Ceylon Oils & Fats Corporation,23,46
LK-DRY-2SA5B,4796540515314,Marina Sunflower Oil 500ml,Dry Rations,Marina,500ml,422.73,520,Ceylon Oils & Fats Corporation,14,56
LK-DRY-9RGEZ,4797043030540,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,316.74,736,Adani Wilmar Limited,28,56
LK-DRY-LEN60,4796527758413,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,996.86,796,Adani Wilmar Limited,46,184
LK-DRY-VPYMB,4795964016582,Fortune Corn Oil 1L,Dry Rations,Fortune,1L,1035.15,211,Adani Wilmar Limited,40,80
LK-DRY-8BFQN,4797192856541,Renuka Coconut Milk Powder 300g,Dry Rations,Renuka,300g,333.58,933,Renuka Agri Foods PLC,43,215
LK-DRY-HWY9H,4792172715511,Maggi Coconut Milk Powder 300g,Dry Rations,Maggi,300g,386.42,487,Nestle Lanka PLC,23,92
LK-DRY-2ATN2,4798291146786,Marina Coconut Milk Powder 150g,Dry Rations,Marina,150g,237.23,768,Ceylon Oils & Fats Corporation,20,80
LK-DRY-52XG8,4796801824223,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,479.96,534,Fonterra Brands Lanka,30,60
LK-DRY-KTSG7,4792299590015,Catch Channa Dhal 500g,Dry Rations,Catch,500g,177.76,770,Ceylon Catch PLC,25,125
LK-DRY-XKI3O,4797102767738,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,257.04,1062,Ceylon Catch PLC,32,128
LK-DRY-LQJID,4794696325955,Catch Toor Dhal 500g,Dry Rations,Catch,500g,216.6,707,Ceylon Catch PLC,43,172
LK-DRY-HMBR5,4797480162453,Catch Chick Peas 500g,Dry Rations,Catch,500g,371.0,590,Ceylon Catch PLC,48,144
LK-DRY-K9YE9,4796558523981,Catch Kidney Beans 250g,Dry Rations,Catch,250g,140.9,219,Ceylon Catch PLC,33,165
LK-DRY-7LOW4,4799588879479,MD Curry Powder 200g,Dry Rations,MD,200g,262.99,869,MD Holdings (Private) Limited,38,152
LK-DRY-R821U,4790972896232,MD Chilli Powder 100g,Dry Rations,MD,100g,66.0,292,MD Holdings (Private) Limited,13,65
LK-DRY-1750C,4792838578658,MD Turmeric Powder 50g,Dry Rations,MD,50g,100.54,725,MD Holdings (Private) Limited,46,184
LK-DRY-VGIUI,4794437575847,Catch Curry Powder 100g,Dry Rations,Catch,100g,97.8,736,Ceylon Catch PLC,37,148
LK-DRY-C7X0H,4798484219938,Catch Chilli Powder 200g,Dry Rations,Catch,200g,179.96,723,Ceylon Catch PLC,26,52
LK-DRY-AT7O7,4797734540198,Catch Pepper Powder 50g,Dry Rations,Catch,50g,51.82,1050,Ceylon Catch PLC,23,115
LK-DRY-G05KB,4794991547885,MA's Curry Powder 250g,Dry Rations,MA's,250g,154.31,1051,MA's Kitchen (Private) Limited,41,164
LK-DRY-JG02U,4793296685162,MA's Chilli Powder 100g,Dry Rations,MA's,100g,145.16,323,MA's Kitchen (Private) Limited,32,96
LK-DRY-K0AXY,4790174268417,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,141.38,556,MA's Kitchen (Private) Limited,26,78
LK-DRY-OTQTX,4793391878513,Wijaya Curry Powder 100g,Dry Rations,Wijaya,100g,175.95,1028,Wijaya Products (Private) Limited,44,132
LK-DRY-EHUDS,4790728679089,Wijaya Chilli Powder 250g,Dry Rations,Wijaya,250g,149.74,920,Wijaya Products (Private) Limited,37,148
LK-DRY-MC97C,4797046226568,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,209.81,566,McCurrie Products (Private) Limited,17,51
LK-DRY-T0IAA,4794786863374,Mccurrie Unroasted Curry Powder 250g,Dry Rations,Mccurrie,250g,132.9,1076,McCurrie Products (Private) Limited,19,38
LK-DRY-HDBVZ,4790306738306,Marina Coconut Oil 1L,Dry Rations,Marina,1L,693.24,419,Ceylon Oils & Fats Corporation,48,192
LK-DRY-59SOJ,4798926870567,Marina Sunflower Oil 1L,Dry Rations,Marina,1L,1027.24,606,Ceylon Oils & Fats Corporation,21,84
LK-DRY-4FQCO,4796882634353,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,371.08,1047,Adani Wilmar Limited,17,51
LK-DRY-G10UR,4795403317393,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,984.8,425,Adani Wilmar Limited,32,128
LK-BEV-SRD9Q,4795355609324,Elephant House Cream Soda 500ml,Beverages,Elephant House,500ml,158.85,479,Ceylon Cold Stores PLC,23,115
LK-BEV-RXYJ3,4797725228722,Elephant House Ginger Beer 1L,Beverages,Elephant House,1L,452.57,508,Ceylon Cold Stores PLC,20,40
LK-BEV-O4IZA,4798750997706,Elephant House Necto 1.5L,Beverages,Elephant House,1.5L,314.8,186,Ceylon Cold Stores PLC,20,80
LK-BEV-P7G7S,4793398454611,Elephant House Orange Crush 2L,Beverages,Elephant House,2L,502.01,469,Ceylon Cold Stores PLC,23,69
LK-BEV-DNTCA,4792176591807,Elephant House Lemonade 500ml,Beverages,Elephant House,500ml,187.83,534,Ceylon Cold Stores PLC,19,76
LK-BEV-XG4AH,4792614293966,Elephant House EGB 1.5L,Beverages,Elephant House,1.5L,468.83,376,Ceylon Cold Stores PLC,14,28
LK-BEV-4M18O,4795047735867,Coca-Cola Original 1050ml,Beverages,Coca-Cola,1050ml,355.54,518,Coca-Cola Beverages Sri Lanka Limited,13,52
LK-BEV-ZW0LD,4790475412120,Coca-Cola Zero 2L,Beverages,Coca-Cola,2L,518.34,442,Coca-Cola Beverages Sri Lanka Limited,13,26
LK-BEV-AO20U,4793982622440,Sprite Regular 2L,Beverages,Sprite,2L,472.5,265,Coca-Cola Beverages Sri Lanka Limited,16,80
LK-BEV-WVHDK,4796596575690,Sprite Zero 400ml,Beverages,Sprite,400ml,161.83,535,Coca-Cola Beverages Sri Lanka Limited,19,76
LK-BEV-W82LK,4796519398283,Fanta Orange 1050ml,Beverages,Fanta,1050ml,296.34,542,Coca-Cola Beverages Sri Lanka Limited,19,76
LK-BEV-RWIXZ,4796179796887,Fanta Cream Soda 1.5L,Beverages,Fanta,1.5L,525.45,394,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-1XMXB,4796561014384,Fanta Portello 400ml,Beverages,Fanta,400ml,231.99,532,Coca-Cola Beverages Sri Lanka Limited,15,75
LK-BEV-F9RK7,4791125457386,Pepsi Cola 1.5L,Beverages,Pepsi,1.5L,424.23,404,Varun Beverages Lanka (Private) Limited,23,115
LK-BEV-4XYF9,4793828258673,Pepsi Can 250ml,Beverages,Pepsi,250ml,462.2,274,Varun Beverages Lanka (Private) Limited,22,110
LK-BEV-PAHKZ,4791918255373,7 Up Regular 2L,Beverages,7 Up,2L,428.96,430,Varun Beverages Lanka (Private) Limited,22,88
LK-BEV-4W3ZK,4799912513413,Mirinda Orange 1.5L,Beverages,Mirinda,1.5L,355.34,441,Varun Beverages Lanka (Private) Limited,18,54
LK-BEV-77GGK,4792579050727,Mountain Dew Bottle 1.5L,Beverages,Mountain Dew,1.5L,358.11,467,Varun Beverages Lanka (Private) Limited,22,110
LK-BEV-GU2HB,4793842797882,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,428.75,458,Varun Beverages Lanka (Private) Limited,20,40
LK-BEV-0XI5B,4794517133950,Kist Orange Nectar 1L,Beverages,Kist,1L,440.91,399,Kist Products (Private) Limited,21,63
LK-BEV-TVG9K,4799481260428,Kist Mixed Fruit Nectar 200ml,Beverages,Kist,200ml,156.79,254,Kist Products (Private) Limited,17,51
LK-BEV-JOQW5,4791684577594,Kist Mango Nectar 1L,Beverages,Kist,1L,261.58,227,Kist Products (Private) Limited,19,76
LK-BEV-RLKTE,4797500170123,Kist Woodapple Nectar 200ml,Beverages,Kist,200ml,129.63,399,Kist Products (Private) Limited,23,69
LK-BEV-XJN6F,4796436110371,MD Cordial Mixed Fruit 750ml,Beverages,MD,750ml,199.36,445,MD Holdings (Private) Limited,19,38
LK-BEV-ECN0D,4795542622181,MD Cordial Mango 400ml,Beverages,MD,400ml,210.9,264,MD Holdings (Private) Limited,17,51
LK-BEV-4DD1V,4796565234139,MD Cordial Passion Fruit 750ml,Beverages,MD,750ml,268.88,491,MD Holdings (Private) Limited,24,48
LK-BEV-S0KB6,4793761379183,Milo Malt Drink 200g,Beverages,Milo,200g,643.92,364,Nestle Lanka PLC,14,70
LK-BEV-181AC,4794300684867,Nestomalt Malt Drink 175g,Beverages,Nestomalt,175g,423.86,507,Nestle Lanka PLC,20,60
LK-BEV-TOW4Y,4791463031613,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,939.17,338,Unilever Sri Lanka Limited,23,69
LK-BEV-8S2ZG,4792410564819,Aquafina Bottled Drinking Water 1.5L,Beverages,Aquafina,1.5L,373.7,501,Varun Beverages Lanka (Private) Limited,19,95
LK-BEV-F16YE,4798000307569,Red Bull Energy Drink 250ml,Beverages,Red Bull,250ml,656.29,198,Red Bull Lanka (Private) Limited,24,120
LK-BEV-3UEYB,4793806174452,Elephant House Cream Soda 1L,Beverages,Elephant House,1L,279.11,368,Ceylon Cold Stores PLC,16,64
LK-BEV-0T2F7,4790385050641,Elephant House Ginger Beer 500ml,Beverages,Elephant House,500ml,170.75,301,Ceylon Cold Stores PLC,19,38
LK-BEV-6SZN9,4791918261992,Elephant House Necto 1L,Beverages,Elephant House,1L,274.08,246,Ceylon Cold Stores PLC,16,64
LK-BEV-LJCH2,4799121277564,Elephant House Orange Crush 1.5L,Beverages,Elephant House,1.5L,341.02,286,Ceylon Cold Stores PLC,16,80
LK-BEV-3ZB4L,4791356804423,Elephant House Lemonade 1.5L,Beverages,Elephant House,1.5L,320.43,411,Ceylon Cold Stores PLC,23,69
LK-BEV-C2IHO,4791994101373,Elephant House EGB 500ml,Beverages,Elephant House,500ml,266.51,349,Ceylon Cold Stores PLC,12,60
LK-BEV-RNPM6,4794472099933,Coca-Cola Original 400ml,Beverages,Coca-Cola,400ml,220.55,461,Coca-Cola Beverages Sri Lanka Limited,12,24
LK-BEV-W2292,4795787598562,Coca-Cola Zero 400ml,Beverages,Coca-Cola,400ml,177.27,485,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-9DXJ3,4790396522397,Sprite Regular 400ml,Beverages,Sprite,400ml,182.73,363,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-TGBCV,4790870593257,Sprite Zero 400ml,Beverages,Sprite,400ml,228.55,345,Coca-Cola Beverages Sri Lanka Limited,12,36
LK-BEV-8N7OD,4794522675285,Fanta Orange 1.5L,Beverages,Fanta,1.5L,472.62,362,Coca-Cola Beverages Sri Lanka Limited,22,66
LK-BEV-AZU41,4799029593919,Fanta Cream Soda 400ml,Beverages,Fanta,400ml,253.8,219,Coca-Cola Beverages Sri Lanka Limited,17,68
LK-BEV-X5QJI,4791541006762,Fanta Portello 1050ml,Beverages,Fanta,1050ml,434.08,432,Coca-Cola Beverages Sri Lanka Limited,17,85
LK-BEV-IQ2BA,4794115262182,Pepsi Cola 2L,Beverages,Pepsi,2L,662.39,353,Varun Beverages Lanka (Private) Limited,21,105
LK-BEV-FDHGZ,4798444310699,Pepsi Can 250ml,Beverages,Pepsi,250ml,551.81,207,Varun Beverages Lanka (Private) Limited,12,60
LK-BEV-DHW9R,4791467741860,7 Up Regular 1.5L,Beverages,7 Up,1.5L,355.75,369,Varun Beverages Lanka (Private) Limited,19,38
LK-BEV-C1YDM,4798693806868,Mirinda Orange 2L,Beverages,Mirinda,2L,669.09,423,Varun Beverages Lanka (Private) Limited,15,75
LK-BEV-USU9F,4797223320614,Mountain Dew Bottle 500ml,Beverages,Mountain Dew,500ml,290.81,501,Varun Beverages Lanka (Private) Limited,21,84
LK-BEV-UT4S7,4790998616227,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,556.58,231,Varun Beverages Lanka (Private) Limited,21,42
LK-BEV-NRVBJ,4792996065304,Kist Orange Nectar 200ml,Beverages,Kist,200ml,161.41,370,Kist Products (Private) Limited,17,68
LK-BEV-9IK01,4795469137362,Kist Mixed Fruit Nectar 1L,Beverages,Kist,1L,415.82,371,Kist Products (Private) Limited,20,60
LK-BEV-BG34I,4797053457863,Kist Mango Nectar 200ml,Beverages,Kist,200ml,149.9,195,Kist Products (Private) Limited,17,85
LK-BEV-MF60Y,4794060293330,Kist Woodapple Nectar 1L,Beverages,Kist,1L,402.61,389,Kist Products (Private) Limited,12,24
LK-BEV-J2K8X,4796657437486,MD Cordial Mixed Fruit 400ml,Beverages,MD,400ml,240.88,232,MD Holdings (Private) Limited,20,80
LK-BEV-RMJLJ,4794328309650,MD Cordial Mango 750ml,Beverages,MD,750ml,287.5,515,MD Holdings (Private) Limited,16,64
LK-BEV-93MZY,4797584282415,MD Cordial Passion Fruit 400ml,Beverages,MD,400ml,200.28,466,MD Holdings (Private) Limited,22,88
LK-BEV-2LJK4,4797099917383,Milo Malt Drink 400g,Beverages,Milo,400g,747.6,451,Nestle Lanka PLC,18,36
LK-BEV-969F5,4792175250071,Nestomalt Malt Drink 400g,Beverages,Nestomalt,400g,835.88,266,Nestle Lanka PLC,24,72
LK-BEV-WO8NB,4793505830031,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,808.74,339,Unilever Sri Lanka Limited,13,65
LK-DAI-8QSSP,4792575326031,Anchor Milk Powder Full Cream 400g,Dairy (Shelf-Stable),Anchor,400g,773.11,144,Fonterra Brands Lanka,13,39
LK-DAI-JTB9X,4790016761847,Anchor Milk Powder Shape Up 1kg,Dairy (Shelf-Stable),Anchor,1kg,2041.85,267,Fonterra Brands Lanka,12,48
LK-DAI-ZP6SW,4794117393488,Anchor Milk UHT 1L,Dairy (Shelf-Stable),Anchor,1L,630.33,194,Fonterra Brands Lanka,22,44
LK-DAI-IADDU,4797218114372,Anchor Butter Salted 227g,Dairy (Shelf-Stable),Anchor,227g,508.05,208,Fonterra Brands Lanka,18,54
LK-DAI-PE46A,4792255794150,Anchor Butter Unsalted 227g,Dairy (Shelf-Stable),Anchor,227g,478.52,192,Fonterra Brands Lanka,41,164
LK-DAI-5GE09,4792169797292,Anchor Cheese Slices 200g,Dairy (Shelf-Stable),Anchor,200g,725.15,97,Fonterra Brands Lanka,20,100
LK-DAI-JLZY1,4799935889168,Kotmale Fresh Milk Full Cream 200ml,Dairy (Shelf-Stable),Kotmale,200ml,144.83,10,Kotmale Holdings PLC,36,108
LK-DAI-XF445,4791753540832,Kotmale Fresh Milk Low Fat 1L,Dairy (Shelf-Stable),Kotmale,1L,518.07,10,Kotmale Holdings PLC,41,205
LK-DAI-ERXDO,4798801994883,Kotmale Fresh Milk Non Fat 1L,Dairy (Shelf-Stable),Kotmale,1L,426.8,12,Kotmale Holdings PLC,15,45
LK-DAI-ZNQDX,4790554885104,Kotmale Milk Chocolate 1L,Dairy (Shelf-Stable),Kotmale,1L,610.08,11,Kotmale Holdings PLC,28,84
LK-DAI-ZDO74,4799177982702,Kotmale Milk Vanilla 180ml,Dairy (Shelf-Stable),Kotmale,180ml,124.44,11,Kotmale Holdings PLC,42,126
LK-DAI-XVL5P,4799346547220,Kotmale Milk Faluda 1L,Dairy (Shelf-Stable),Kotmale,1L,481.49,11,Kotmale Holdings PLC,47,188
LK-DAI-WKMY9,4792885158797,Ambewela Milk Plain 200ml,Dairy (Shelf-Stable),Ambewela,200ml,138.05,10,Ambewela Products (Private) Limited,46,184
LK-DAI-NBCJ2,4794420438050,Ambewela Milk Chocolate 1L,Dairy (Shelf-Stable),Ambewela,1L,588.07,14,Ambewela Products (Private) Limited,47,141
LK-DAI-YBNO2,4795800439735,Ambewela Milk Vanilla 1L,Dairy (Shelf-Stable),Ambewela,1L,613.96,10,Ambewela Products (Private) Limited,46,138
LK-DAI-C80EB,4794842294050,Ambewela Milk Non Fat 1L,Dairy (Shelf-Stable),Ambewela,1L,495.72,100,Ambewela Products (Private) Limited,32,64
LK-DAI-2TCZS,4792818268869,Richlife Milk Full Cream UHT 180ml,Dairy (Shelf-Stable),Richlife,180ml,91.84,144,Richlife Dairies (Private) Limited,33,132
LK-DAI-939AY,4797399305613,Richlife Milk Low Fat UHT 1L,Dairy (Shelf-Stable),Richlife,1L,474.35,162,Richlife Dairies (Private) Limited,45,180
LK-DAI-GS8G8,4798801336133,Richlife Milk Non Fat UHT 1L,Dairy (Shelf-Stable),Richlife,1L,514.69,201,Richlife Dairies (Private) Limited,16,48
LK-DAI-GJC36,4796676650613,Richlife Chocolate Milk 180ml,Dairy (Shelf-Stable),Richlife,180ml,124.77,248,Richlife Dairies (Private) Limited,14,28
LK-DAI-VK7N3,4790728326846,Highland Milk Full Cream UHT 450ml,Dairy (Shelf-Stable),Highland,450ml,470.9,263,Highland Dairies (Private) Limited,35,70
LK-DAI-VT8K0,4795368222398,Highland Milk Chocolate UHT 180ml,Dairy (Shelf-Stable),Highland,180ml,147.07,14,Highland Dairies (Private) Limited,48,96
LK-DAI-TKCD0,4797552314919,Highland Milk Vanilla UHT 180ml,Dairy (Shelf-Stable),Highland,180ml,151.94,13,Highland Dairies (Private) Limited,31,93
LK-DAI-AIH0P,4795257775479,Milkmaid Sweetened Condensed Milk 510g,Dairy (Shelf-Stable),Milkmaid,510g,581.03,245,Nestle Lanka PLC,29,87
LK-DAI-064W3,4799693084881,Astra Multi-Purpose Fat Spread 100g,Dairy (Shelf-Stable),Astra,100g,224.57,183,HA & GS De Zoysa (Private) Limited,26,104
LK-DAI-AI89Y,4798272299272,Happy Cow Cheese Regular Slices 400g,Dairy (Shelf-Stable),Happy Cow,400g,1137.67,214,Happy Cow Lanka (Private) Limited,16,64
LK-DAI-QQB9L,4798449892664,Happy Cow Cheese Wedges 120g,Dairy (Shelf-Stable),Happy Cow,120g,481.35,109,Happy Cow Lanka (Private) Limited,28,140
