sku,barcode,ProductName,Category,Brand,UnitSize,BaseUnitPriceLKR,TypicalShelfLifeDays,Supplier,CaseSize,MaxShelfCapacityUnits
LK-RIC-EIFJF,4790249947179,CIC Kaluheenati Rice 1kg,Rice & Grains,CIC,1kg,338.39,458,CIC Agri Businesses,23,115
LK-RIC-VAIY4,4799049027876,Catch Rice Suduru Samba 1kg,Rice & Grains,Catch,1kg,382.41,626,Ceylon Catch PLC,21,42
LK-RIC-LYK83,4798071545167,Akshata Suwandel Rice 800g,Rice & Grains,Akshata,800g,361.11,181,Akshata Agri Products,23,115
LK-RIC-PBJEK,4797109324804,Akshata Kuruluthuda Rice 800g,Rice & Grains,Akshata,800g,300.57,296,Akshata Agri Products,9,27
LK-RIC-49ITN,4799821465841,Akshata Pachchaperumal Rice 800g,Rice & Grains,Akshata,800g,352.52,485,Akshata Agri Products,24,120
LK-RIC-1N759,4793963605769,Akshata Kaluheenati Rice 800g,Rice & Grains,Akshata,800g,268.39,335,Akshata Agri Products,7,21
LK-RIC-SQ0OX,4792174596156,Ariya Pure Basmathi Rice 1kg,Rice & Grains,Ariya,1kg,370.07,569,Ariya Trading,21,42
LK-RIC-0PDW5,4797240050457,India Gate Basmati Rice Excel 5kg,Rice & Grains,India Gate,5kg,1288.4,723,KRBL Limited (India),24,72
LK-RIC-I6FQJ,4794074821758,India Gate Basmati Rice Exotic 1kg,Rice & Grains,India Gate,1kg,396.27,614,KRBL Limited (India),14,70
LK-RIC-IUU9K,4796409097432,Dunar Basmathi Rice Daily 5kg,Rice & Grains,Dunar,5kg,1486.79,374,Dunar Foods (India),14,42
LK-RIC-BNE6L,4796232858842,Dunar Basmathi Rice Nawazish 1kg,Rice & Grains,Dunar,1kg,365.84,673,Dunar Foods (India),16,32
LK-RIC-0982N,4796048175492,Tilda Pure Original Basmathi 5kg,Rice & Grains,Tilda,5kg,1293.69,560,Tilda Limited (UK),13,65
LK-RIC-XWQZX,4791200471139,Turkey Basmathi Rice 2kg,Rice & Grains,Turkey,2kg,733.45,644,Turkey Foods Lanka,23,115
LK-DRY-4W7KY,4793773515852,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,378.31,305,Fonterra Brands Lanka,17,51
LK-DRY-92H3T,4799335290427,Catch Channa Dhal 500g,Dry Rations,Catch,500g,501.31,997,Ceylon Catch PLC,19,38
LK-DRY-AJEPE,4791775891783,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,261.74,924,Ceylon Catch PLC,45,180
LK-DRY-PDZP6,4795921249985,Catch Toor Dhal 500g,Dry Rations,Catch,500g,415.18,791,Ceylon Catch PLC,30,150
LK-DRY-X1ZHQ,4793657661569,Catch Chick Peas 500g,Dry Rations,Catch,500g,290.2,336,Ceylon Catch PLC,42,84
LK-DRY-NEC8U,4791656049456,Catch Kidney Beans 250g,Dry Rations,Catch,250g,113.67,338,Ceylon Catch PLC,42,126
LK-DRY-U3493,4799809402448,MD Curry Powder 100g,Dry Rations,MD,100g,205.19,365,MD Holdings (Private) Limited,48,240
LK-DRY-TNQFL,4795991022907,MD Chilli Powder 200g,Dry Rations,MD,200g,281.9,857,MD Holdings (Private) Limited,43,215
LK-DRY-DYVSL,4793690034320,MD Turmeric Powder 50g,Dry Rations,MD,50g,101.85,302,MD Holdings (Private) Limited,43,215
LK-DRY-43C5B,4790715969667,Catch Curry Powder 200g,Dry Rations,Catch,200g,217.15,512,Ceylon Catch PLC,41,164
LK-DRY-SOLML,4792181883553,Catch Chilli Powder 100g,Dry Rations,Catch,100g,177.17,1014,Ceylon Catch PLC,27,54
LK-DRY-G1R11,4797995527174,Catch Pepper Powder 50g,Dry Rations,Catch,50g,76.67,461,Ceylon Catch PLC,15,60
LK-DRY-3C54W,4798679807933,MA's Curry Powder 100g,Dry Rations,MA's,100g,118.58,334,MA's Kitchen (Private) Limited,40,80
LK-DRY-XBZ9S,4799255466599,MA's Chilli Powder 250g,Dry Rations,MA's,250g,105.05,522,MA's Kitchen (Private) Limited,33,66
LK-DRY-5MUFM,4796291486529,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,168.89,936,MA's Kitchen (Private) Limited,45,90
LK-DRY-GH8RI,4792214188808,Wijaya Curry Powder 250g,Dry Rations,Wijaya,250g,207.7,812,Wijaya Products (Private) Limited,36,108
LK-DRY-POYIP,4794738347358,Wijaya Chilli Powder 100g,Dry Rations,Wijaya,100g,170.09,631,Wijaya Products (Private) Limited,30,150
LK-DRY-EJX5T,4791814124780,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,193.22,407,McCurrie Products (Private) Limited,34,68
LK-DRY-NB74X,4792204727796,Mccurrie Unroasted Curry Powder 100g,Dry Rations,Mccurrie,100g,72.93,442,McCurrie Products (Private) Limited,21,105
LK-DRY-P2QD6,4799808932465,Marina Coconut Oil 2.9L,Dry Rations,Marina,2.9L,1806.18,764,Ceylon Oils & Fats Corporation,23,46
LK-DRY-2SA5B,4796540515314,Marina Sunflower Oil 500ml,Dry Rations,Marina,500ml,491.49,520,Ceylon Oils & Fats Corporation,14,56
LK-DRY-9RGEZ,4797043030540,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,368.26,736,Adani Wilmar Limited,28,56
LK-DRY-LEN60,4796527758413,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,1159.01,796,Adani Wilmar Limited,46,184
LK-DRY-VPYMB,4795964016582,Fortune Corn Oil 1L,Dry Rations,Fortune,1L,1203.53,211,Adani Wilmar Limited,40,80
LK-DRY-8BFQN,4797192856541,Renuka Coconut Milk Powder 300g,Dry Rations,Renuka,300g,387.84,933,Renuka Agri Foods PLC,43,215
LK-DRY-HWY9H,4792172715511,Maggi Coconut Milk Powder 300g,Dry Rations,Maggi,300g,449.27,487,Nestle Lanka PLC,23,92
LK-DRY-2ATN2,4798291146786,Marina Coconut Milk Powder 150g,Dry Rations,Marina,150g,275.82,768,Ceylon Oils & Fats Corporation,20,80
LK-DRY-52XG8,4796801824223,Anchor Mysoor Dhal 1kg,Dry Rations,Anchor,1kg,558.03,534,Fonterra Brands Lanka,30,60
LK-DRY-KTSG7,4792299590015,Catch Channa Dhal 500g,Dry Rations,Catch,500g,206.68,770,Ceylon Catch PLC,25,125
LK-DRY-XKI3O,4797102767738,Catch Green Gram Dhal 500g,Dry Rations,Catch,500g,298.85,1062,Ceylon Catch PLC,32,128
LK-DRY-LQJID,4794696325955,Catch Toor Dhal 500g,Dry Rations,Catch,500g,251.83,707,Ceylon Catch PLC,43,172
LK-DRY-HMBR5,4797480162453,Catch Chick Peas 500g,Dry Rations,Catch,500g,431.35,590,Ceylon Catch PLC,48,144
LK-DRY-K9YE9,4796558523981,Catch Kidney Beans 250g,Dry Rations,Catch,250g,163.82,219,Ceylon Catch PLC,33,165
LK-DRY-7LOW4,4799588879479,MD Curry Powder 200g,Dry Rations,MD,200g,305.77,869,MD Holdings (Private) Limited,38,152
LK-DRY-R821U,4790972896232,MD Chilli Powder 100g,Dry Rations,MD,100g,76.73,292,MD Holdings (Private) Limited,13,65
LK-DRY-1750C,4792838578658,MD Turmeric Powder 50g,Dry Rations,MD,50g,116.89,725,MD Holdings (Private) Limited,46,184
LK-DRY-VGIUI,4794437575847,Catch Curry Powder 100g,Dry Rations,Catch,100g,113.71,736,Ceylon Catch PLC,37,148
LK-DRY-C7X0H,4798484219938,Catch Chilli Powder 200g,Dry Rations,Catch,200g,209.23,723,Ceylon Catch PLC,26,52
LK-DRY-AT7O7,4797734540198,Catch Pepper Powder 50g,Dry Rations,Catch,50g,60.25,1050,Ceylon Catch PLC,23,115
LK-DRY-G05KB,4794991547885,MA's Curry Powder 250g,Dry Rations,MA's,250g,179.41,1051,MA's Kitchen (Private) Limited,41,164
LK-DRY-JG02U,4793296685162,MA's Chilli Powder 100g,Dry Rations,MA's,100g,168.77,323,MA's Kitchen (Private) Limited,32,96
LK-DRY-K0AXY,4790174268417,MA's Roasted Curry Powder 100g,Dry Rations,MA's,100g,164.37,556,MA's Kitchen (Private) Limited,26,78
LK-DRY-OTQTX,4793391878513,Wijaya Curry Powder 100g,Dry Rations,Wijaya,100g,204.57,1028,Wijaya Products (Private) Limited,44,132
LK-DRY-EHUDS,4790728679089,Wijaya Chilli Powder 250g,Dry Rations,Wijaya,250g,174.09,920,Wijaya Products (Private) Limited,37,148
LK-DRY-MC97C,4797046226568,Mccurrie Roasted Curry Powder 200g,Dry Rations,Mccurrie,200g,243.94,566,McCurrie Products (Private) Limited,17,51
LK-DRY-T0IAA,4794786863374,Mccurrie Unroasted Curry Powder 250g,Dry Rations,Mccurrie,250g,154.52,1076,McCurrie Products (Private) Limited,19,38
LK-DRY-HDBVZ,4790306738306,Marina Coconut Oil 1L,Dry Rations,Marina,1L,806.01,419,Ceylon Oils & Fats Corporation,48,192
LK-DRY-59SOJ,4798926870567,Marina Sunflower Oil 1L,Dry Rations,Marina,1L,1194.33,606,Ceylon Oils & Fats Corporation,21,84
LK-DRY-4FQCO,4796882634353,Fortune Sunflower Oil 500ml,Dry Rations,Fortune,500ml,431.44,1047,Adani Wilmar Limited,17,51
LK-DRY-G10UR,4795403317393,Fortune Coconut Oil 1L,Dry Rations,Fortune,1L,1144.99,425,Adani Wilmar Limited,32,128
LK-BEV-SRD9Q,4795355609324,Elephant House Cream Soda 500ml,Beverages,Elephant House,500ml,166.97,479,Ceylon Cold Stores PLC,23,115
LK-BEV-RXYJ3,4797725228722,Elephant House Ginger Beer 1L,Beverages,Elephant House,1L,475.72,508,Ceylon Cold Stores PLC,20,40
LK-BEV-O4IZA,4798750997706,Elephant House Necto 1.5L,Beverages,Elephant House,1.5L,330.9,186,Ceylon Cold Stores PLC,20,80
LK-BEV-P7G7S,4793398454611,Elephant House Orange Crush 2L,Beverages,Elephant House,2L,527.69,469,Ceylon Cold Stores PLC,23,69
LK-BEV-DNTCA,4792176591807,Elephant House Lemonade 500ml,Beverages,Elephant House,500ml,197.44,534,Ceylon Cold Stores PLC,19,76
LK-BEV-XG4AH,4792614293966,Elephant House EGB 1.5L,Beverages,Elephant House,1.5L,492.81,376,Ceylon Cold Stores PLC,14,28
LK-BEV-4M18O,4795047735867,Coca-Cola Original 1050ml,Beverages,Coca-Cola,1050ml,373.72,518,Coca-Cola Beverages Sri Lanka Limited,13,52
LK-BEV-ZW0LD,4790475412120,Coca-Cola Zero 2L,Beverages,Coca-Cola,2L,544.86,442,Coca-Cola Beverages Sri Lanka Limited,13,26
LK-BEV-AO20U,4793982622440,Sprite Regular 2L,Beverages,Sprite,2L,496.68,265,Coca-Cola Beverages Sri Lanka Limited,16,80
LK-BEV-WVHDK,4796596575690,Sprite Zero 400ml,Beverages,Sprite,400ml,170.11,535,Coca-Cola Beverages Sri Lanka Limited,19,76
LK-BEV-W82LK,4796519398283,Fanta Orange 1050ml,Beverages,Fanta,1050ml,311.5,542,Coca-Cola Beverages Sri Lanka Limited,19,76
LK-BEV-RWIXZ,4796179796887,Fanta Cream Soda 1.5L,Beverages,Fanta,1.5L,552.33,394,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-1XMXB,4796561014384,Fanta Portello 400ml,Beverages,Fanta,400ml,243.85,532,Coca-Cola Beverages Sri Lanka Limited,15,75
LK-BEV-F9RK7,4791125457386,Pepsi Cola 1.5L,Beverages,Pepsi,1.5L,445.93,404,Varun Beverages Lanka (Private) Limited,23,115
LK-BEV-4XYF9,4793828258673,Pepsi Can 250ml,Beverages,Pepsi,250ml,485.84,274,Varun Beverages Lanka (Private) Limited,22,110
LK-BEV-PAHKZ,4791918255373,7 Up Regular 2L,Beverages,7 Up,2L,450.9,430,Varun Beverages Lanka (Private) Limited,22,88
LK-BEV-4W3ZK,4799912513413,Mirinda Orange 1.5L,Beverages,Mirinda,1.5L,373.52,441,Varun Beverages Lanka (Private) Limited,18,54
LK-BEV-77GGK,4792579050727,Mountain Dew Bottle 1.5L,Beverages,Mountain Dew,1.5L,376.44,467,Varun Beverages Lanka (Private) Limited,22,110
LK-BEV-GU2HB,4793842797882,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,450.68,458,Varun Beverages Lanka (Private) Limited,20,40
LK-BEV-0XI5B,4794517133950,Kist Orange Nectar 1L,Beverages,Kist,1L,463.46,399,Kist Products (Private) Limited,21,63
LK-BEV-TVG9K,4799481260428,Kist Mixed Fruit Nectar 200ml,Beverages,Kist,200ml,164.81,254,Kist Products (Private) Limited,17,51
LK-BEV-JOQW5,4791684577594,Kist Mango Nectar 1L,Beverages,Kist,1L,274.96,227,Kist Products (Private) Limited,19,76
LK-BEV-RLKTE,4797500170123,Kist Woodapple Nectar 200ml,Beverages,Kist,200ml,136.26,399,Kist Products (Private) Limited,23,69
LK-BEV-XJN6F,4796436110371,MD Cordial Mixed Fruit 750ml,Beverages,MD,750ml,209.56,445,MD Holdings (Private) Limited,19,38
LK-BEV-ECN0D,4795542622181,MD Cordial Mango 400ml,Beverages,MD,400ml,221.69,264,MD Holdings (Private) Limited,17,51
LK-BEV-4DD1V,4796565234139,MD Cordial Passion Fruit 750ml,Beverages,MD,750ml,282.64,491,MD Holdings (Private) Limited,24,48
LK-BEV-S0KB6,4793761379183,Milo Malt Drink 200g,Beverages,Milo,200g,676.87,364,Nestle Lanka PLC,14,70
LK-BEV-181AC,4794300684867,Nestomalt Malt Drink 175g,Beverages,Nestomalt,175g,445.55,507,Nestle Lanka PLC,20,60
LK-BEV-TOW4Y,4791463031613,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,987.22,338,Unilever Sri Lanka Limited,23,69
LK-BEV-8S2ZG,4792410564819,Aquafina Bottled Drinking Water 1.5L,Beverages,Aquafina,1.5L,392.81,501,Varun Beverages Lanka (Private) Limited,19,95
LK-BEV-F16YE,4798000307569,Red Bull Energy Drink 250ml,Beverages,Red Bull,250ml,689.86,198,Red Bull Lanka (Private) Limited,24,120
LK-BEV-3UEYB,4793806174452,Elephant House Cream Soda 1L,Beverages,Elephant House,1L,293.39,368,Ceylon Cold Stores PLC,16,64
LK-BEV-0T2F7,4790385050641,Elephant House Ginger Beer 500ml,Beverages,Elephant House,500ml,179.49,301,Ceylon Cold Stores PLC,19,38
LK-BEV-6SZN9,4791918261992,Elephant House Necto 1L,Beverages,Elephant House,1L,288.1,246,Ceylon Cold Stores PLC,16,64
LK-BEV-LJCH2,4799121277564,Elephant House Orange Crush 1.5L,Beverages,Elephant House,1.5L,358.47,286,Ceylon Cold Stores PLC,16,80
LK-BEV-3ZB4L,4791356804423,Elephant House Lemonade 1.5L,Beverages,Elephant House,1.5L,336.82,411,Ceylon Cold Stores PLC,23,69
LK-BEV-C2IHO,4791994101373,Elephant House EGB 500ml,Beverages,Elephant House,500ml,280.14,349,Ceylon Cold Stores PLC,12,60
LK-BEV-RNPM6,4794472099933,Coca-Cola Original 400ml,Beverages,Coca-Cola,400ml,231.83,461,Coca-Cola Beverages Sri Lanka Limited,12,24
LK-BEV-W2292,4795787598562,Coca-Cola Zero 400ml,Beverages,Coca-Cola,400ml,186.34,485,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-9DXJ3,4790396522397,Sprite Regular 400ml,Beverages,Sprite,400ml,192.08,363,Coca-Cola Beverages Sri Lanka Limited,12,48
LK-BEV-TGBCV,4790870593257,Sprite Zero 400ml,Beverages,Sprite,400ml,240.24,345,Coca-Cola Beverages Sri Lanka Limited,12,36
LK-BEV-8N7OD,4794522675285,Fanta Orange 1.5L,Beverages,Fanta,1.5L,496.8,362,Coca-Cola Beverages Sri Lanka Limited,22,66
LK-BEV-AZU41,4799029593919,Fanta Cream Soda 400ml,Beverages,Fanta,400ml,266.79,219,Coca-Cola Beverages Sri Lanka Limited,17,68
LK-BEV-X5QJI,4791541006762,Fanta Portello 1050ml,Beverages,Fanta,1050ml,456.28,432,Coca-Cola Beverages Sri Lanka Limited,17,85
LK-BEV-IQ2BA,4794115262182,Pepsi Cola 2L,Beverages,Pepsi,2L,696.27,353,Varun Beverages Lanka (Private) Limited,21,105
LK-BEV-FDHGZ,4798444310699,Pepsi Can 250ml,Beverages,Pepsi,250ml,580.04,207,Varun Beverages Lanka (Private) Limited,12,60
LK-BEV-DHW9R,4791467741860,7 Up Regular 1.5L,Beverages,7 Up,1.5L,373.95,369,Varun Beverages Lanka (Private) Limited,19,38
LK-BEV-C1YDM,4798693806868,Mirinda Orange 2L,Beverages,Mirinda,2L,703.32,423,Varun Beverages Lanka (Private) Limited,15,75
LK-BEV-USU9F,4797223320614,Mountain Dew Bottle 500ml,Beverages,Mountain Dew,500ml,305.69,501,Varun Beverages Lanka (Private) Limited,21,84
LK-BEV-UT4S7,4790998616227,Mountain Dew Can 250ml,Beverages,Mountain Dew,250ml,585.05,231,Varun Beverages Lanka (Private) Limited,21,42
LK-BEV-NRVBJ,4792996065304,Kist Orange Nectar 200ml,Beverages,Kist,200ml,169.67,370,Kist Products (Private) Limited,17,68
LK-BEV-9IK01,4795469137362,Kist Mixed Fruit Nectar 1L,Beverages,Kist,1L,437.09,371,Kist Products (Private) Limited,20,60
LK-BEV-BG34I,4797053457863,Kist Mango Nectar 200ml,Beverages,Kist,200ml,157.56,195,Kist Products (Private) Limited,17,85
LK-BEV-MF60Y,4794060293330,Kist Woodapple Nectar 1L,Beverages,Kist,1L,423.21,389,Kist Products (Private) Limited,12,24
LK-BEV-J2K8X,4796657437486,MD Cordial Mixed Fruit 400ml,Beverages,MD,400ml,253.21,232,MD Holdings (Private) Limited,20,80
LK-BEV-RMJLJ,4794328309650,MD Cordial Mango 750ml,Beverages,MD,750ml,302.21,515,MD Holdings (Private) Limited,16,64
LK-BEV-93MZY,4797584282415,MD Cordial Passion Fruit 400ml,Beverages,MD,400ml,210.53,466,MD Holdings (Private) Limited,22,88
LK-BEV-2LJK4,4797099917383,Milo Malt Drink 400g,Beverages,Milo,400g,785.85,451,Nestle Lanka PLC,18,36
LK-BEV-969F5,4792175250071,Nestomalt Malt Drink 400g,Beverages,Nestomalt,400g,878.65,266,Nestle Lanka PLC,24,72
LK-BEV-WO8NB,4793505830031,Horlicks Malted Food Drink 400g,Beverages,Horlicks,400g,850.12,339,Unilever Sri Lanka Limited,13,65
LK-DAI-8QSSP,4792575326031,Anchor Milk Powder Full Cream 400g,Dairy (Shelf-Stable),Anchor,400g,865.13,144,Fonterra Brands Lanka,13,39
LK-DAI-JTB9X,4790016761847,Anchor Milk Powder Shape Up 1kg,Dairy (Shelf-Stable),Anchor,1kg,2284.88,267,Fonterra Brands Lanka,12,48
LK-DAI-ZP6SW,4794117393488,Anchor Milk UHT 1L,Dairy (Shelf-Stable),Anchor,1L,705.35,194,Fonterra Brands Lanka,22,44
LK-DAI-IADDU,4797218114372,Anchor Butter Salted 227g,Dairy (Shelf-Stable),Anchor,227g,568.52,208,Fonterra Brands Lanka,18,54
LK-DAI-PE46A,4792255794150,Anchor Butter Unsalted 227g,Dairy (Shelf-Stable),Anchor,227g,535.47,192,Fonterra Brands Lanka,41,164
LK-DAI-5GE09,4792169797292,Anchor Cheese Slices 200g,Dairy (Shelf-Stable),Anchor,200g,811.46,97,Fonterra Brands Lanka,20,100
LK-DAI-JLZY1,4799935889168,Kotmale Fresh Milk Full Cream 200ml,Dairy (Shelf-Stable),Kotmale,200ml,162.07,10,Kotmale Holdings PLC,36,108
LK-DAI-XF445,4791753540832,Kotmale Fresh Milk Low Fat 1L,Dairy (Shelf-Stable),Kotmale,1L,579.73,10,Kotmale Holdings PLC,41,205
LK-DAI-ERXDO,4798801994883,Kotmale Fresh Milk Non Fat 1L,Dairy (Shelf-Stable),Kotmale,1L,477.59,12,Kotmale Holdings PLC,15,45
LK-DAI-ZNQDX,4790554885104,Kotmale Milk Chocolate 1L,Dairy (Shelf-Stable),Kotmale,1L,682.69,11,Kotmale Holdings PLC,28,84
LK-DAI-ZDO74,4799177982702,Kotmale Milk Vanilla 180ml,Dairy (Shelf-Stable),Kotmale,180ml,139.26,11,Kotmale Holdings PLC,42,126
LK-DAI-XVL5P,4799346547220,Kotmale Milk Faluda 1L,Dairy (Shelf-Stable),Kotmale,1L,538.8,11,Kotmale Holdings PLC,47,188
LK-DAI-WKMY9,4792885158797,Ambewela Milk Plain 200ml,Dairy (Shelf-Stable),Ambewela,200ml,154.49,10,Ambewela Products (Private) Limited,46,184
LK-DAI-NBCJ2,4794420438050,Ambewela Milk Chocolate 1L,Dairy (Shelf-Stable),Ambewela,1L,658.07,14,Ambewela Products (Private) Limited,47,141
LK-DAI-YBNO2,4795800439735,Ambewela Milk Vanilla 1L,Dairy (Shelf-Stable),Ambewela,1L,687.03,10,Ambewela Products (Private) Limited,46,138
LK-DAI-C80EB,4794842294050,Ambewela Milk Non Fat 1L,Dairy (Shelf-Stable),Ambewela,1L,554.72,100,Ambewela Products (Private) Limited,32,64
LK-DAI-2TCZS,4792818268869,Richlife Milk Full Cream UHT 180ml,Dairy (Shelf-Stable),Richlife,180ml,102.77,144,Richlife Dairies (Private) Limited,33,132
LK-DAI-939AY,4797399305613,Richlife Milk Low Fat UHT 1L,Dairy (Shelf-Stable),Richlife,1L,530.81,162,Richlife Dairies (Private) Limited,45,180
LK-DAI-GS8G8,4798801336133,Richlife Milk Non Fat UHT 1L,Dairy (Shelf-Stable),Richlife,1L,575.95,201,Richlife Dairies (Private) Limited,16,48
LK-DAI-GJC36,4796676650613,Richlife Chocolate Milk 180ml,Dairy (Shelf-Stable),Richlife,180ml,139.62,248,Richlife Dairies (Private) Limited,14,28
LK-DAI-VK7N3,4790728326846,Highland Milk Full Cream UHT 450ml,Dairy (Shelf-Stable),Highland,450ml,526.94,263,Highland Dairies (Private) Limited,35,70
LK-DAI-VT8K0,4795368222398,Highland Milk Chocolate UHT 180ml,Dairy (Shelf-Stable),Highland,180ml,164.58,14,Highland Dairies (Private) Limited,48,96
LK-DAI-TKCD0,4797552314919,Highland Milk Vanilla UHT 180ml,Dairy (Shelf-Stable),Highland,180ml,170.02,13,Highland Dairies (Private) Limited,31,93
LK-DAI-AIH0P,4795257775479,Milkmaid Sweetened Condensed Milk 510g,Dairy (Shelf-Stable),Milkmaid,510g,650.19,245,Nestle Lanka PLC,29,87
LK-DAI-064W3,4799693084881,Astra Multi-Purpose Fat Spread 100g,Dairy (Shelf-Stable),Astra,100g,251.3,183,HA & GS De Zoysa (Private) Limited,26,104
LK-DAI-AI89Y,4798272299272,Happy Cow Cheese Regular Slices 400g,Dairy (Shelf-Stable),Happy Cow,400g,1273.07,214,Happy Cow Lanka (Private) Limited,16,64
LK-DAI-QQB9L,4798449892664,Happy Cow Cheese Wedges 120g,Dairy (Shelf-Stable),Happy Cow,120g,538.64,109,Happy Cow Lanka (Private) Limited,28,140
